Quarter,Time,Down,ToGo,Location,TAM,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,8.0,2023,107
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 64 yards, returned by Deven Thompkins for 26 yards (tackle by Josh Norman)",0.0,0.74,8.0,2023,107
1.0,14:52,1.0,10.0,TAM 27,0.0,0.0,Rachaad White up the middle for 6 yards (tackle by Terrel Bernard),0.74,1.01,8.0,2023,107
1.0,14:21,2.0,4.0,TAM 33,0.0,0.0,Baker Mayfield pass incomplete short left intended for Trey Palmer (defended by Terrel Bernard),1.01,0.3,8.0,2023,107
1.0,14:14,3.0,4.0,TAM 33,0.0,0.0,Baker Mayfield pass complete short middle to Trey Palmer for 15 yards (tackle by Micah Hyde),0.3,2.13,8.0,2023,107
1.0,13:36,1.0,10.0,TAM 48,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Mike Evans,2.13,1.58,8.0,2023,107
1.0,13:31,2.0,10.0,TAM 48,0.0,0.0,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)",1.58,0.91,8.0,2023,107
1.0,13:31,2.0,15.0,TAM 43,0.0,0.0,Baker Mayfield pass complete short left to Trey Palmer for no gain (tackle by Dane Jackson and Jordan Poyer),0.91,0.23,8.0,2023,107
1.0,12:50,3.0,15.0,TAM 43,0.0,0.0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Jordan Poyer),0.23,-0.52,8.0,2023,107
1.0,12:46,4.0,15.0,TAM 43,0.0,0.0,Jake Camarda punts 53 yards downed by Josh Hayes,-0.52,0.38,8.0,2023,107
1.0,12:35,1.0,10.0,BUF 4,0.0,0.0,Josh Allen pass complete short left to Khalil Shakir for 13 yards (tackle by Jamel Dean),-0.38,-0.06,8.0,2023,107
1.0,12:05,1.0,10.0,BUF 17,0.0,0.0,Josh Allen left guard for 8 yards (tackle by Joe Tryon-Shoyinka),-0.06,0.62,8.0,2023,107
1.0,11:32,2.0,2.0,BUF 25,0.0,0.0,Josh Allen pass complete short right to Khalil Shakir for 21 yards (tackle by Carlton Davis),0.62,1.99,8.0,2023,107
1.0,10:51,1.0,10.0,BUF 46,0.0,0.0,Josh Allen pass complete short right to Gabriel Davis for 16 yards (tackle by Jamel Dean),1.99,3.05,8.0,2023,107
1.0,10:22,1.0,10.0,TAM 38,0.0,0.0,Josh Allen pass complete short right to Gabriel Davis for 9 yards (tackle by Shaquil Barrett),3.05,3.72,8.0,2023,107
1.0,9:58,2.0,1.0,TAM 29,0.0,0.0,Latavius Murray left end for 5 yards (tackle by Devin White),3.72,3.97,8.0,2023,107
1.0,9:29,1.0,10.0,TAM 24,0.0,0.0,Josh Allen pass incomplete short right,3.97,3.43,8.0,2023,107
1.0,9:23,2.0,10.0,TAM 24,0.0,0.0,Josh Allen pass complete short right to Khalil Shakir for 5 yards (tackle by Devin White),3.43,3.41,8.0,2023,107
1.0,8:47,3.0,5.0,TAM 19,0.0,0.0,Josh Allen pass complete short left to Stefon Diggs for no gain (tackle by Christian Izien),3.41,2.24,8.0,2023,107
1.0,8:08,4.0,5.0,TAM 19,0.0,3.0,Tyler Bass 37 yard field goal good,2.24,3.0,8.0,2023,107
1.0,8:04,,,BUF 35,0.0,3.0,"Tyler Bass kicks off 63 yards, returned by Deven Thompkins for 18 yards (tackle by Josh Norman)",0.0,0.28,8.0,2023,107
1.0,7:58,1.0,10.0,TAM 20,0.0,3.0,Chris Godwin left end for 14 yards (tackle by Jordan Poyer),0.28,1.2,8.0,2023,107
1.0,7:19,1.0,10.0,TAM 34,0.0,3.0,Rachaad White left guard for 2 yards (tackle by Taron Johnson and Terrel Bernard),1.2,0.93,8.0,2023,107
1.0,6:38,2.0,8.0,TAM 36,0.0,3.0,Baker Mayfield pass complete short right to Rachaad White for 3 yards (tackle by Terrel Bernard),0.93,0.63,8.0,2023,107
1.0,5:56,3.0,5.0,TAM 39,0.0,3.0,"Baker Mayfield pass incomplete deep middle intended for Cade Otton. Penalty on Taylor Rapp: Defensive Pass Interference, 21 yards (accepted) (no play)",0.63,2.92,8.0,2023,107
1.0,5:52,1.0,10.0,BUF 40,0.0,3.0,Ke'Shawn Vaughn right end for 1 yard (tackle by Gregory Rousseau and Jordan Poyer),2.92,2.51,8.0,2023,107
1.0,5:11,2.0,9.0,BUF 39,0.0,3.0,"Baker Mayfield fumbles, recovered by Baker Mayfield at BUF-44 Baker Mayfield pass incomplete short right",2.51,1.82,8.0,2023,107
1.0,5:06,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,8.0,2023,107
1.0,5:06,3.0,9.0,BUF 39,0.0,3.0,Baker Mayfield pass complete short right to Mike Evans for 7 yards (tackle by Christian Benford),1.82,1.3,8.0,2023,107
