Unnamed: 0,TAM,BUF,week,year,game_id
First Downs,17,25,8.0,2023,107
Rush-Yds-TDs,17-78-0,26-115-1,8.0,2023,107
Cmp-Att-Yd-TD-INT,25-42-237-2-0,31-40-324-2-1,8.0,2023,107
Sacked-Yards,3-13,2-12,8.0,2023,107
Net Pass Yards,224,312,8.0,2023,107
Total Yards,302,427,8.0,2023,107
Fumbles-Lost,2-0,0-0,8.0,2023,107
Turnovers,0,1,8.0,2023,107
Penalties-Yards,11-74,9-86,8.0,2023,107
Third Down Conv.,4-15,7-13,8.0,2023,107
Fourth Down Conv.,1-1,0-1,8.0,2023,107
Time of Possession,28:03,31:57,8.0,2023,107
