Quarter,Time,Down,ToGo,Location,LAR,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,8.0,2023,109
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Dak Prescott sacked by Michael Hoecht for -5 yards,0.61,-0.61,8.0,2023,109
1.0,14:30,2.0,15.0,DAL 20,0.0,0.0,Tony Pollard up the middle for 4 yards (tackle by Byron Young),-0.61,-0.76,8.0,2023,109
1.0,13:48,3.0,11.0,DAL 24,0.0,0.0,"Dak Prescott sacked by Byron Young for no gain. Penalty on Quentin Lake: Illegal Contact, 6 yards (accepted) (no play)",-0.76,0.94,8.0,2023,109
1.0,13:28,1.0,10.0,DAL 30,0.0,0.0,Dak Prescott sacked by Aaron Donald for -7 yards,0.94,-0.55,8.0,2023,109
1.0,12:49,2.0,17.0,DAL 23,0.0,0.0,Dak Prescott pass complete short middle to CeeDee Lamb for 17 yards (tackle by Cobie Durant and Ernest Jones),-0.55,1.6,8.0,2023,109
1.0,12:07,1.0,10.0,DAL 40,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 5 yards (tackle by Quentin Lake and Jordan Fuller),1.6,1.73,8.0,2023,109
1.0,11:34,2.0,5.0,DAL 45,0.0,0.0,Dak Prescott pass complete short right to Michael Gallup for 14 yards,1.73,2.85,8.0,2023,109
1.0,11:03,1.0,10.0,LAR 41,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 4 yards (tackle by Ahkello Witherspoon),2.85,2.85,8.0,2023,109
1.0,10:33,2.0,6.0,LAR 37,0.0,0.0,Dak Prescott pass incomplete short right intended for Jalen Tolbert (defended by Ahkello Witherspoon),2.85,2.15,8.0,2023,109
1.0,10:30,3.0,6.0,LAR 37,0.0,0.0,Dak Prescott pass complete short left to Brandin Cooks for 19 yards (tackle by Derion Kendrick),2.15,4.37,8.0,2023,109
1.0,9:49,1.0,10.0,LAR 18,0.0,6.0,"Dak Prescott pass complete deep middle to Jake Ferguson for 18 yards, touchdown",4.37,7.0,8.0,2023,109
1.0,9:44,,,LAR 15,0.0,7.0,Brandon Aubrey kicks extra point good,0.0,0.0,8.0,2023,109
1.0,9:44,,,DAL 35,0.0,7.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
1.0,9:44,1.0,10.0,LAR 25,0.0,7.0,Darrell Henderson up the middle for 5 yards (tackle by Damone Clark and Jayron Kearse),0.61,0.74,8.0,2023,109
1.0,9:07,2.0,5.0,LAR 30,0.0,7.0,Matthew Stafford pass complete short left to Darrell Henderson for 12 yards (tackle by Damone Clark),0.74,1.73,8.0,2023,109
1.0,8:25,1.0,10.0,LAR 42,0.0,7.0,Matthew Stafford pass complete deep left to Tyler Higbee for 20 yards (tackle by Jayron Kearse),1.73,3.05,8.0,2023,109
1.0,7:59,1.0,10.0,DAL 38,0.0,7.0,Darrell Henderson left tackle for -1 yards (tackle by DeMarcus Lawrence),3.05,2.37,8.0,2023,109
1.0,7:30,2.0,11.0,DAL 39,0.0,7.0,Matthew Stafford pass incomplete short right intended for Tutu Atwell,2.37,1.68,8.0,2023,109
1.0,7:23,3.0,11.0,DAL 39,0.0,7.0,Matthew Stafford pass complete short right to Puka Nacua for 22 yards (tackle by DaRon Bland),1.68,4.44,8.0,2023,109
1.0,6:46,1.0,10.0,DAL 17,0.0,7.0,Tutu Atwell left end for no gain (tackle by Malik Hooker),4.44,3.85,8.0,2023,109
1.0,6:09,2.0,10.0,DAL 17,0.0,7.0,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,3.85,3.07,8.0,2023,109
1.0,6:04,3.0,10.0,DAL 17,0.0,7.0,Matthew Stafford pass complete short left to Cooper Kupp for 2 yards (tackle by DaRon Bland),3.07,2.44,8.0,2023,109
1.0,5:25,4.0,8.0,DAL 15,3.0,7.0,Lucas Havrisik 33 yard field goal good,2.44,3.0,8.0,2023,109
1.0,5:22,,,LAR 35,3.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
1.0,5:22,1.0,10.0,DAL 25,3.0,7.0,Dak Prescott pass complete short left to CeeDee Lamb for 17 yards (tackle by Ochaun Mathis),0.61,1.73,8.0,2023,109
1.0,4:47,1.0,10.0,DAL 42,3.0,7.0,Dak Prescott scrambles up the middle for 7 yards (tackle by Ernest Jones),1.73,2.13,8.0,2023,109
1.0,4:00,2.0,3.0,DAL 49,3.0,7.0,Tony Pollard right guard for 1 yard (tackle by Jonah Williams and Larrell Murchison),2.13,1.55,8.0,2023,109
