Quarter,Time,Tm,Detail,CHI,LAC,week,year,game_id
1.0,7:08,Chargers,Austin Ekeler 39 yard pass from Justin Herbert (Cameron Dicker kick),0,7,8.0,2023,121
,0:43,Chargers,Simi Fehoko 9 yard pass from Justin Herbert (Cameron Dicker kick),0,14,8.0,2023,121
2.0,8:50,Chargers,Cameron Dicker 43 yard field goal,0,17,8.0,2023,121
,1:47,Bears,Darrynton Evans 11 yard rush (Cairo Santos kick),7,17,8.0,2023,121
,0:04,Chargers,Donald Parham 11 yard pass from Justin Herbert (Cameron Dicker kick),7,24,8.0,2023,121
3.0,8:51,Chargers,Cameron Dicker 53 yard field goal,7,27,8.0,2023,121
,3:00,Chargers,Cameron Dicker 46 yard field goal,7,30,8.0,2023,121
4.0,2:12,Bears,Tyson Bagent 1 yard rush (pass failed),13,30,8.0,2023,121
