Unnamed: 0,LAR,DAL,week,year,game_id
First Downs,15,24,8.0,2023,109
Rush-Yds-TDs,24-92-1,26-102-0,8.0,2023,109
Cmp-Att-Yd-TD-INT,18-32-204-1-1,27-34-307-4-1,8.0,2023,109
Sacked-Yards,2-16,3-22,8.0,2023,109
Net Pass Yards,188,285,8.0,2023,109
Total Yards,280,387,8.0,2023,109
Fumbles-Lost,0-0,0-0,8.0,2023,109
Turnovers,1,1,8.0,2023,109
Penalties-Yards,4-25,4-21,8.0,2023,109
Third Down Conv.,4-13,6-12,8.0,2023,109
Fourth Down Conv.,1-2,1-1,8.0,2023,109
Time of Possession,24:32,35:28,8.0,2023,109
