Unnamed: 0,HOU,CAR,week,year,game_id
First Downs,16,20,8.0,2023,108
Rush-Yds-TDs,30-110-2,24-44-0,8.0,2023,108
Cmp-Att-Yd-TD-INT,16-24-140-0-0,22-31-235-1-0,8.0,2023,108
Sacked-Yards,2-21,6-55,8.0,2023,108
Net Pass Yards,119,180,8.0,2023,108
Total Yards,229,224,8.0,2023,108
Fumbles-Lost,1-1,0-0,8.0,2023,108
Turnovers,1,0,8.0,2023,108
Penalties-Yards,10-70,3-20,8.0,2023,108
Third Down Conv.,5-12,5-14,8.0,2023,108
Fourth Down Conv.,1-1,1-2,8.0,2023,108
Time of Possession,29:31,30:29,8.0,2023,108
