Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Breece Hall,NYJ,12,17,0,0.0,4,0.3,13,1.1,0,,8.0,2023,115
Zach Wilson,NYJ,4,25,0,1.0,25,6.3,0,0.0,0,,8.0,2023,115
Michael Carter,NYJ,2,2,0,,1,0.5,1,0.5,0,,8.0,2023,115
Dalvin Cook,NYJ,2,5,0,1.0,4,2.0,1,0.5,0,,8.0,2023,115
Xavier Gipson,NYJ,1,3,0,,2,2.0,1,1.0,0,,8.0,2023,115
Garrett Wilson,NYJ,1,6,0,0.0,3,3.0,3,3.0,0,,8.0,2023,115
Saquon Barkley,NYG,36,128,0,4.0,42,1.2,86,2.4,1,36.0,8.0,2023,115
Matt Breida,NYG,5,13,0,,7,1.4,6,1.2,0,,8.0,2023,115
Tyrod Taylor,NYG,5,33,0,1.0,14,2.8,19,3.8,0,,8.0,2023,115
Tommy DeVito,NYG,4,12,1,1.0,12,3.0,0,0.0,0,,8.0,2023,115
Wan'Dale Robinson,NYG,2,17,0,1.0,14,7.0,3,1.5,0,,8.0,2023,115
