Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Packers to receive the opening kickoff.",,,8.0,2023,110
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 61 yards, returned by Keisean Nixon for 15 yards (tackle by Jay Ward)",0.0,0.15,8.0,2023,110
1.0,14:57,1.0,10.0,GNB 19,0.0,0.0,Jordan Love pass complete short left to Luke Musgrave for 2 yards (tackle by Harrison Smith),0.15,-0.06,8.0,2023,110
1.0,14:25,2.0,8.0,GNB 21,0.0,0.0,AJ Dillon left tackle for 7 yards (tackle by Harrison Phillips and Jordan Hicks),-0.06,0.1,8.0,2023,110
1.0,14:01,3.0,1.0,GNB 28,0.0,0.0,"Jordan Love pass complete to Romeo Doubs for no gain. Penalty on Rasheed Walker: Ineligible Downfield Pass, 4 yards (accepted) (no play)",0.1,-0.42,8.0,2023,110
1.0,13:36,3.0,5.0,GNB 24,0.0,0.0,"Jordan Love pass incomplete intended for Jayden Reed. Penalty on Jordan Hicks: Defensive Offside, 4 yards (accepted) (no play)",-0.42,0.1,8.0,2023,110
1.0,13:31,3.0,1.0,GNB 28,0.0,0.0,AJ Dillon up the middle for no gain (tackle by Harrison Phillips),0.1,-1.5,8.0,2023,110
1.0,12:49,4.0,1.0,GNB 28,0.0,0.0,"Penalty on Corey Ballentine: False Start, 5 yards (accepted) (no play)",-1.5,-1.83,8.0,2023,110
1.0,12:49,4.0,6.0,GNB 23,0.0,0.0,"Daniel Whelan punts 59 yards, returned by Brandon Powell for 16 yards (tackle by Corey Ballentine)",-1.83,-1.2,8.0,2023,110
1.0,12:38,1.0,10.0,MIN 34,0.0,0.0,Alexander Mattison right tackle for 2 yards (tackle by Tedarrell Slaton and De'Vondre Campbell),1.2,0.93,8.0,2023,110
