Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Patriots to receive the opening kickoff.",,,8.0,2023,114
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,114
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,Mac Jones pass complete short left to Demario Douglas for -4 yards (tackle by Kader Kohou),0.61,-0.48,8.0,2023,114
1.0,14:22,2.0,14.0,NWE 21,0.0,0.0,Rhamondre Stevenson right guard for 2 yards (tackle by Jaelan Phillips),-0.48,-0.89,8.0,2023,114
1.0,13:43,3.0,12.0,NWE 23,0.0,0.0,Mac Jones pass complete short left to Hunter Henry for 4 yards (tackle by Eli Apple and Jalen Ramsey),-0.89,-1.57,8.0,2023,114
1.0,13:10,4.0,8.0,NWE 27,0.0,0.0,"Bryce Baringer punts 49 yards, returned by Braxton Berrios for 12 yards (tackle by Brenden Schooler)",-1.57,-1.33,8.0,2023,114
1.0,13:03,1.0,10.0,MIA 36,0.0,0.0,Raheem Mostert up the middle for 6 yards (tackle by Jabrill Peppers),1.33,1.6,8.0,2023,114
1.0,12:32,2.0,4.0,MIA 42,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Alec Ingold,1.6,0.89,8.0,2023,114
1.0,12:29,3.0,4.0,MIA 42,0.0,0.0,Tua Tagovailoa pass complete short right to Braxton Berrios for 3 yards (tackle by Jonathan Jones and Jalen Mills),0.89,-0.39,8.0,2023,114
1.0,12:02,4.0,1.0,MIA 45,0.0,0.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 17 yards (tackle by Myles Bryant),-0.39,3.05,8.0,2023,114
1.0,11:21,1.0,10.0,NWE 38,0.0,0.0,Raheem Mostert right tackle for 2 yards (tackle by Ja'Whaun Bentley and Christian Barmore),3.05,2.78,8.0,2023,114
1.0,10:43,2.0,8.0,NWE 36,0.0,0.0,Raheem Mostert right tackle for -3 yards (tackle by Jabrill Peppers),2.78,1.68,8.0,2023,114
1.0,10:04,3.0,11.0,NWE 39,0.0,0.0,Tua Tagovailoa pass incomplete deep right intended for Chase Claypool,1.68,0.66,8.0,2023,114
1.0,10:01,4.0,11.0,NWE 39,0.0,0.0,"Jake Bailey punts 39 yards, touchback.",0.66,-0.28,8.0,2023,114
1.0,9:55,1.0,10.0,NWE 20,0.0,0.0,Mac Jones pass complete short right to Pharaoh Brown for 9 yards (tackle by DeShon Elliott),0.28,0.95,8.0,2023,114
1.0,9:26,2.0,1.0,NWE 29,0.0,0.0,Ezekiel Elliott up the middle for 2 yards (tackle by Jaelan Phillips),0.95,1.0,8.0,2023,114
1.0,8:48,1.0,10.0,NWE 31,0.0,0.0,Demario Douglas right end for 4 yards (tackle by Jaelan Phillips),1.0,0.93,8.0,2023,114
1.0,8:07,2.0,7.0,NWE 35,0.0,0.0,Ezekiel Elliott right guard for 3 yards (tackle by Zach Sieler),0.93,0.63,8.0,2023,114
1.0,7:26,3.0,4.0,NWE 38,0.0,0.0,Mac Jones pass complete short left to Rhamondre Stevenson for 2 yards (tackle by Brandon Jones and Jerome Baker),0.63,-0.72,8.0,2023,114
1.0,6:46,4.0,2.0,NWE 40,0.0,0.0,"Bryce Baringer punts 60 yards, touchback.",-0.72,-0.28,8.0,2023,114
1.0,6:35,1.0,10.0,MIA 20,0.0,0.0,Tua Tagovailoa pass complete short middle to Durham Smythe for 15 yards (tackle by Marte Mapu),0.28,1.27,8.0,2023,114
1.0,5:54,1.0,10.0,MIA 35,0.0,0.0,Raheem Mostert left end for 1 yard (tackle by Keion White and Ja'Whaun Bentley),1.27,0.86,8.0,2023,114
1.0,5:15,2.0,9.0,MIA 36,0.0,0.0,Tua Tagovailoa sacked by Christian Barmore for -6 yards,0.86,-0.63,8.0,2023,114
1.0,4:37,3.0,15.0,MIA 30,0.0,0.0,Tua Tagovailoa pass short right intended for Tyreek Hill is intercepted by Kyle Dugger at MIA-45 and returned for 15 yards (tackle by Tyreek Hill),-0.63,-3.58,8.0,2023,114
1.0,4:26,1.0,10.0,MIA 30,0.0,0.0,Mac Jones pass incomplete deep left,3.58,3.03,8.0,2023,114
1.0,4:21,2.0,10.0,MIA 30,0.0,0.0,Rhamondre Stevenson up the middle for 6 yards (tackle by DeShon Elliott),3.03,3.14,8.0,2023,114
1.0,3:39,3.0,4.0,MIA 24,6.0,0.0,"Mac Jones pass complete short middle to Kendrick Bourne for 24 yards, touchdown",3.14,7.0,8.0,2023,114
1.0,3:32,,,MIA 15,7.0,0.0,Chad Ryland kicks extra point good,0.0,0.0,8.0,2023,114
1.0,3:32,,,NWE 35,7.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,114
1.0,3:32,1.0,10.0,MIA 25,7.0,0.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 9 yards (tackle by Kyle Dugger),0.61,1.28,8.0,2023,114
1.0,2:56,2.0,1.0,MIA 34,7.0,0.0,Jeff Wilson right guard for 4 yards (tackle by Davon Godchaux),1.28,1.47,8.0,2023,114
1.0,2:18,1.0,10.0,MIA 38,7.0,0.0,Tua Tagovailoa pass complete short left to Alec Ingold for 5 yards (tackle by Ja'Whaun Bentley),1.47,1.6,8.0,2023,114
1.0,1:43,2.0,5.0,MIA 43,7.0,0.0,Jeff Wilson left end for 11 yards (tackle by Ja'Whaun Bentley and Jabrill Peppers),1.6,2.52,8.0,2023,114
1.0,1:07,1.0,10.0,NWE 46,7.0,0.0,Jeff Wilson right end for 4 yards (tackle by Ja'Whaun Bentley and Jahlani Tavai),2.52,2.52,8.0,2023,114
1.0,0:28,2.0,6.0,NWE 42,7.0,6.0,"Tua Tagovailoa pass complete deep left to Tyreek Hill for 42 yards, touchdown",2.52,7.0,8.0,2023,114
1.0,0:22,,,NWE 15,7.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,8.0,2023,114
1.0,0:22,,,MIA 35,7.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,114
1.0,0:22,1.0,10.0,NWE 25,7.0,7.0,Mac Jones pass complete short right to Demario Douglas for 2 yards (tackle by David Long),0.61,0.33,8.0,2023,114
2.0,15:00,2.0,8.0,NWE 27,7.0,7.0,"Ezekiel Elliott left end for no gain. Ezekiel Elliott fumbles (forced by Jalen Ramsey). Penalty on Kendrick Bourne: Offensive Holding, 10 yards (accepted) (no play)",0.33,-1.15,8.0,2023,114
2.0,14:30,2.0,18.0,NWE 17,7.0,7.0,Ezekiel Elliott right tackle for 2 yards (tackle by Christian Wilkins),-1.15,-1.51,8.0,2023,114
2.0,13:49,3.0,16.0,NWE 19,7.0,7.0,Mac Jones pass incomplete short left intended for Rhamondre Stevenson,-1.51,-2.14,8.0,2023,114
2.0,13:44,4.0,16.0,NWE 19,7.0,7.0,"Penalty on Joe Cardona: False Start, 5 yards (accepted) (no play)",-2.14,-2.47,8.0,2023,114
2.0,13:44,4.0,21.0,NWE 14,7.0,7.0,"Bryce Baringer punts 44 yards, returned by Braxton Berrios for 5 yards (tackle by Brenden Schooler)",-2.47,-2.06,8.0,2023,114
2.0,13:35,1.0,10.0,MIA 47,7.0,7.0,"Raheem Mostert right tackle for no gain (tackle by Lawrence Guy and Jahlani Tavai). Penalty on Davon Godchaux: Defensive Holding, 5 yards (accepted) (no play)",2.06,2.39,8.0,2023,114
2.0,13:10,1.0,10.0,NWE 48,7.0,7.0,Tua Tagovailoa pass complete short left to Julian Hill for 4 yards (tackle by Ja'Whaun Bentley),2.39,2.39,8.0,2023,114
2.0,12:33,2.0,6.0,NWE 44,7.0,7.0,Tua Tagovailoa pass complete short middle to Salvon Ahmed for -8 yards (tackle by Keion White),2.39,0.63,8.0,2023,114
2.0,11:52,3.0,14.0,MIA 48,7.0,7.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 10 yards (tackle by Jonathan Jones),0.63,0.46,8.0,2023,114
2.0,11:13,4.0,4.0,NWE 42,7.0,7.0,Tua Tagovailoa scrambles up the middle for 8 yards (tackle by Kyle Dugger and Jahlani Tavai),0.46,3.31,8.0,2023,114
2.0,10:32,1.0,10.0,NWE 34,7.0,7.0,Raheem Mostert left end for 3 yards (tackle by Christian Barmore),3.31,3.18,8.0,2023,114
2.0,9:52,2.0,7.0,NWE 31,7.0,7.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 14 yards (tackle by Mack Wilson),3.18,4.44,8.0,2023,114
2.0,9:10,1.0,10.0,NWE 17,7.0,7.0,Salvon Ahmed up the middle for 2 yards (tackle by Christian Barmore and Jahlani Tavai),4.44,4.15,8.0,2023,114
2.0,8:31,2.0,8.0,NWE 15,7.0,7.0,Tua Tagovailoa sacked by Kyle Dugger for -6 yards,4.15,2.68,8.0,2023,114
2.0,7:49,3.0,14.0,NWE 21,7.0,7.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 13 yards (tackle by Jack Jones),2.68,2.99,8.0,2023,114
