Quarter,Time,Down,ToGo,Location,BAL,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,8.0,2023,119
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,119
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,Joshua Dobbs pass complete short right to Marquise Brown for 7 yards (tackle by Jadeveon Clowney),0.61,1.01,8.0,2023,119
1.0,14:25,2.0,3.0,ARI 32,0.0,0.0,Emari Demercado left end for -1 yards (tackle by Patrick Queen),1.01,0.17,8.0,2023,119
1.0,13:56,3.0,4.0,ARI 31,0.0,0.0,"Joshua Dobbs sacked by Justin Madubuike for no gain. Penalty on Kyle Hamilton: Illegal Contact, 5 yards (accepted) (no play)",0.17,1.33,8.0,2023,119
1.0,13:33,1.0,10.0,ARI 36,0.0,0.0,Emari Demercado up the middle for 5 yards (tackle by Malik Harrison),1.33,1.47,8.0,2023,119
1.0,13:01,2.0,5.0,ARI 41,0.0,0.0,Joshua Dobbs pass complete short right to Michael Wilson for 10 yards (tackle by Patrick Queen and Kyle Hamilton),1.47,2.32,8.0,2023,119
1.0,12:27,1.0,10.0,BAL 49,0.0,0.0,Joshua Dobbs left end for 8 yards (tackle by Roquan Smith),2.32,2.86,8.0,2023,119
1.0,11:55,2.0,2.0,BAL 41,0.0,0.0,Emari Demercado up the middle for 4 yards (tackle by Patrick Queen and Malik Harrison),2.86,3.12,8.0,2023,119
1.0,11:15,1.0,10.0,BAL 37,0.0,0.0,Joshua Dobbs pass complete short left to Trey McBride for 7 yards (tackle by Brandon Stephens),3.12,3.52,8.0,2023,119
1.0,10:34,2.0,3.0,BAL 30,0.0,0.0,Rondale Moore up the middle for 5 yards (tackle by Patrick Queen and Brent Urban),3.52,3.91,8.0,2023,119
1.0,9:56,1.0,10.0,BAL 25,0.0,0.0,Emari Demercado up the middle for no gain (tackle by Kyle Hamilton),3.91,3.36,8.0,2023,119
1.0,9:21,2.0,10.0,BAL 25,0.0,0.0,Emari Demercado right end for 6 yards (tackle by Kyle Van Noy and Roquan Smith),3.36,3.49,8.0,2023,119
1.0,8:42,3.0,4.0,BAL 19,0.0,0.0,"Joshua Dobbs pass incomplete deep right intended for Marquise Brown. Penalty on Marlon Humphrey: Defensive Pass Interference, 18 yards (accepted) (no play)",3.49,6.97,8.0,2023,119
1.0,8:37,1.0,1.0,BAL 1,0.0,0.0,Joshua Dobbs up the middle for no gain (tackle by Roquan Smith),6.97,5.91,8.0,2023,119
1.0,8:09,2.0,1.0,BAL 1,0.0,6.0,"Joshua Dobbs up the middle for 1 yard, touchdown",5.91,7.0,8.0,2023,119
1.0,8:05,,,BAL 15,0.0,7.0,Matt Prater kicks extra point good,0.0,0.0,8.0,2023,119
1.0,8:05,,,ARI 35,0.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,119
1.0,8:05,1.0,10.0,BAL 25,0.0,7.0,"Lamar Jackson pass complete to Justice Hill for 3 yards (tackle by Dennis Gardeck). Penalty on Isaiah Likely: Offensive Pass Interference, 10 yards (accepted) (no play)",0.61,-0.41,8.0,2023,119
1.0,7:42,1.0,20.0,BAL 15,0.0,7.0,Lamar Jackson pass complete short left to Zay Flowers for 6 yards (tackle by Dennis Gardeck),-0.41,-0.48,8.0,2023,119
1.0,7:05,2.0,14.0,BAL 21,0.0,7.0,Lamar Jackson pass complete short middle to Justice Hill for 5 yards (tackle by Kyzir White),-0.48,-0.49,8.0,2023,119
1.0,6:23,3.0,9.0,BAL 26,0.0,7.0,Lamar Jackson pass complete short left to Mark Andrews for 10 yards (tackle by Antonio Hamilton),-0.49,1.33,8.0,2023,119
1.0,5:48,1.0,10.0,BAL 36,0.0,7.0,Lamar Jackson pass incomplete short right intended for Odell Beckham (defended by Antonio Hamilton),1.33,0.79,8.0,2023,119
1.0,5:44,2.0,10.0,BAL 36,0.0,7.0,Lamar Jackson pass complete short left to Gus Edwards for 9 yards (tackle by Josh Woods and Budda Baker),0.79,1.29,8.0,2023,119
1.0,5:14,3.0,1.0,BAL 45,0.0,7.0,Gus Edwards up the middle for 4 yards (tackle by Victor Dimukeje and Josh Woods),1.29,2.19,8.0,2023,119
1.0,4:39,1.0,10.0,BAL 49,0.0,7.0,Lamar Jackson pass complete deep left to Rashod Bateman for 29 yards (tackle by Marco Wilson),2.19,4.11,8.0,2023,119
