Quarter,Time,Tm,Detail,BAL,ARI,week,year,game_id
1.0,8:05,Cardinals,Joshua Dobbs 1 yard rush (Matt Prater kick),0,7,8.0,2023,119
,2:38,Ravens,Mark Andrews 5 yard pass from Lamar Jackson (Justin Tucker kick),7,7,8.0,2023,119
2.0,0:20,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),14,7,8.0,2023,119
3.0,0:40,Ravens,Gus Edwards 7 yard rush (Justin Tucker kick),21,7,8.0,2023,119
4.0,9:27,Ravens,Justin Tucker 48 yard field goal,24,7,8.0,2023,119
,6:32,Cardinals,Trey McBride 17 yard pass from Joshua Dobbs (Joshua Dobbs run),24,15,8.0,2023,119
,2:51,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),31,15,8.0,2023,119
,1:14,Cardinals,Marquise Brown 1 yard pass from Joshua Dobbs (pass failed),31,21,8.0,2023,119
,0:26,Cardinals,Matt Prater 47 yard field goal,31,24,8.0,2023,119
