Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Joe Burrow,CIN,0,0,0,0,0,8.0,2023,118
Joe Mixon,CIN,3,3,23,0,12,8.0,2023,118
Tyler Boyd,CIN,3,3,40,1,22,8.0,2023,118
Trayveon Williams,CIN,0,0,0,0,0,8.0,2023,118
Tee Higgins,CIN,6,5,69,0,33,8.0,2023,118
Irv Smith Jr.,CIN,4,4,25,0,11,8.0,2023,118
Trenton Irwin,CIN,2,2,24,0,21,8.0,2023,118
Andrei Iosivas,CIN,1,1,2,1,2,8.0,2023,118
Drew Sample,CIN,1,0,0,0,0,8.0,2023,118
Ja'Marr Chase,CIN,12,10,100,1,20,8.0,2023,118
Brock Purdy,SFO,0,0,0,0,0,8.0,2023,118
Christian McCaffrey,SFO,7,6,64,1,28,8.0,2023,118
Elijah Mitchell,SFO,1,0,0,0,0,8.0,2023,118
George Kittle,SFO,11,9,149,0,34,8.0,2023,118
Brandon Aiyuk,SFO,9,5,109,0,31,8.0,2023,118
Ray-Ray McCloud,SFO,2,2,43,0,41,8.0,2023,118
Kyle Juszczyk,SFO,0,0,0,0,0,8.0,2023,118
