Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Colt McCoy,ARI,0,0,0,0,0,15.0,2022,219
Trace McSorley,ARI,0,0,0,0,0,15.0,2022,219
James Conner,ARI,5,3,28,0,16,15.0,2022,219
DeAndre Hopkins,ARI,11,7,60,0,18,15.0,2022,219
Trey McBride,ARI,5,4,55,0,29,15.0,2022,219
Marquise Brown,ARI,8,4,19,0,9,15.0,2022,219
Maxx Williams,ARI,2,2,11,0,6,15.0,2022,219
A.J. Green,ARI,2,0,0,0,0,15.0,2022,219
Keaontay Ingram,ARI,0,0,0,0,0,15.0,2022,219
Robbie Chosen,ARI,2,0,0,0,0,15.0,2022,219
Brett Rypien,DEN,0,0,0,0,0,15.0,2022,219
Latavius Murray,DEN,1,1,12,0,12,15.0,2022,219
Marlon Mack,DEN,4,4,26,0,10,15.0,2022,219
Devine Ozigbo,DEN,0,0,0,0,0,15.0,2022,219
Andrew Beck,DEN,1,0,0,0,0,15.0,2022,219
Jerry Jeudy,DEN,8,7,76,0,19,15.0,2022,219
Brandon Johnson,DEN,4,3,30,0,12,15.0,2022,219
Eric Tomlinson,DEN,3,3,28,1,18,15.0,2022,219
Greg Dulcich,DEN,2,1,11,0,11,15.0,2022,219
Freddie Swain,DEN,1,1,9,0,9,15.0,2022,219
Eric Saubert,DEN,2,1,5,0,5,15.0,2022,219
