Quarter,Time,Tm,Detail,BAL,CLE,week,year,game_id
2.0,14:10,Browns,Cade York 47 yard field goal,0,3,15.0,2022,211
,5:31,Ravens,Justin Tucker 53 yard field goal,3,3,15.0,2022,211
,1:52,Browns,Cade York 23 yard field goal,3,6,15.0,2022,211
3.0,2:10,Browns,Donovan Peoples-Jones 3 yard pass from Deshaun Watson (Cade York kick),3,13,15.0,2022,211
