Quarter,Time,Tm,Detail,NYG,WAS,week,year,game_id
1.0,2:51,Commanders,Joey Slye 41 yard field goal,0,3,15.0,2022,223
2.0,13:10,Giants,Kayvon Thibodeaux 1 yard fumble return (Graham Gano kick),7,3,15.0,2022,223
,1:43,Giants,Saquon Barkley 3 yard rush (Graham Gano kick),14,3,15.0,2022,223
3.0,8:38,Commanders,Jahan Dotson 19 yard pass from Taylor Heinicke (Joey Slye kick failed),14,9,15.0,2022,223
,3:11,Giants,Graham Gano 50 yard field goal,17,9,15.0,2022,223
4.0,12:31,Commanders,Joey Slye 51 yard field goal,17,12,15.0,2022,223
,1:55,Giants,Graham Gano 50 yard field goal,20,12,15.0,2022,223
