Unnamed: 0,TEN,LAC,week,year,game_id
First Downs,17,23,15.0,2022,222
Rush-Yds-TDs,27-127-2,24-74-2,15.0,2022,222
Cmp-Att-Yd-TD-INT,18-26-185-0-1,28-42-313-0-2,15.0,2022,222
Sacked-Yards,4-28,3-22,15.0,2022,222
Net Pass Yards,157,291,15.0,2022,222
Total Yards,284,365,15.0,2022,222
Fumbles-Lost,2-0,0-0,15.0,2022,222
Turnovers,1,2,15.0,2022,222
Penalties-Yards,6-62,3-20,15.0,2022,222
Third Down Conv.,3-11,4-13,15.0,2022,222
Fourth Down Conv.,0-0,2-2,15.0,2022,222
Time of Possession,30:12,29:48,15.0,2022,222
