Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Rams to receive the opening kickoff.",,,15.0,2022,224
1.0,15:00,,,GNB 35,0.0,0.0,"Mason Crosby kicks off 55 yards, returned by Brandon Powell for 10 yards (tackle by Innis Gaines)",0.0,0.28,15.0,2022,224
1.0,14:56,1.0,10.0,LAR 20,0.0,0.0,Cam Akers left tackle for 15 yards (tackle by Jaire Alexander),0.28,1.27,15.0,2022,224
1.0,14:14,1.0,10.0,LAR 35,0.0,0.0,Cam Akers right guard for -2 yards (tackle by Kenny Clark),1.27,0.45,15.0,2022,224
1.0,13:39,2.0,12.0,LAR 33,0.0,0.0,"Penalty on Ty Nsekhe: False Start, 5 yards (accepted) (no play)",0.45,-0.22,15.0,2022,224
1.0,13:22,2.0,17.0,LAR 28,0.0,0.0,Kyren Williams right tackle for 2 yards (tackle by Kenny Clark),-0.22,-0.63,15.0,2022,224
1.0,13:02,3.0,15.0,LAR 30,0.0,0.0,Baker Mayfield pass complete deep right to Van Jefferson for 17 yards (tackle by Darnell Savage),-0.63,2.06,15.0,2022,224
1.0,12:26,1.0,10.0,LAR 47,0.0,0.0,Cam Akers right tackle for 1 yard (tackle by Rasul Douglas and Preston Smith),2.06,1.65,15.0,2022,224
1.0,11:44,2.0,9.0,LAR 48,0.0,0.0,Baker Mayfield pass incomplete short middle intended for Ben Skowronek,1.65,0.96,15.0,2022,224
1.0,11:37,3.0,9.0,LAR 48,0.0,0.0,Baker Mayfield sacked by Preston Smith for -8 yards,0.96,-0.72,15.0,2022,224
1.0,10:52,4.0,17.0,LAR 40,0.0,0.0,"Riley Dixon punts 47 yards, returned by Keisean Nixon for 19 yards (tackle by Matthew Orzech and Malcolm Brown)",-0.72,-1.07,15.0,2022,224
1.0,10:39,1.0,10.0,GNB 32,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Aaron Jones,1.07,0.53,15.0,2022,224
1.0,10:31,2.0,10.0,GNB 32,0.0,0.0,Aaron Jones right guard for 5 yards (tackle by Russ Yeast and Jalen Ramsey),0.53,0.5,15.0,2022,224
1.0,9:59,3.0,5.0,GNB 37,0.0,0.0,Aaron Rodgers pass complete short left to Romeo Doubs for 11 yards (tackle by Cobie Durant),0.5,2.13,15.0,2022,224
1.0,9:23,1.0,10.0,GNB 48,0.0,0.0,Aaron Jones left end for 9 yards (tackle by Taylor Rapp),2.13,2.8,15.0,2022,224
1.0,8:45,2.0,1.0,LAR 43,0.0,0.0,AJ Dillon left end for 7 yards (tackle by Ernest Jones),2.8,3.18,15.0,2022,224
1.0,8:05,1.0,10.0,LAR 36,0.0,0.0,Aaron Rodgers pass complete short left to Allen Lazard for 7 yards (tackle by Troy Hill),3.18,3.58,15.0,2022,224
1.0,7:33,2.0,3.0,LAR 29,0.0,0.0,Aaron Rodgers pass complete short left to Romeo Doubs for 11 yards (tackle by Troy Hill),3.58,4.37,15.0,2022,224
1.0,6:52,1.0,10.0,LAR 18,0.0,0.0,Aaron Jones up the middle for 10 yards (tackle by Taylor Rapp),4.37,5.37,15.0,2022,224
1.0,5:59,1.0,8.0,LAR 8,0.0,0.0,Aaron Jones right end for 3 yards (tackle by Leonard Floyd and Greg Gaines),5.37,5.15,15.0,2022,224
1.0,5:20,2.0,5.0,LAR 5,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Christian Watson,5.15,4.26,15.0,2022,224
1.0,5:11,3.0,5.0,LAR 5,0.0,0.0,Aaron Rodgers sacked by Leonard Floyd for -11 yards,4.26,2.38,15.0,2022,224
1.0,4:29,4.0,16.0,LAR 16,0.0,3.0,Mason Crosby 34 yard field goal good,2.38,3.0,15.0,2022,224
1.0,4:25,,,GNB 35,0.0,3.0,"Mason Crosby kicks off 55 yards, returned by Brandon Powell for 16 yards (tackle by Darnell Savage)",0.0,0.67,15.0,2022,224
