Quarter,Time,Tm,Detail,MIA,BUF,week,year,game_id
1.0,2:59,Dolphins,Jason Sanders 39 yard field goal,3,0,15.0,2022,212
,1:05,Bills,Quintin Morris 14 yard pass from Josh Allen (Tyler Bass kick),3,7,15.0,2022,212
2.0,14:47,Dolphins,Jason Sanders 21 yard field goal,6,7,15.0,2022,212
,8:18,Bills,Nyheim Hines 10 yard pass from Josh Allen (Tyler Bass kick),6,14,15.0,2022,212
,2:59,Dolphins,Salvon Ahmed 11 yard rush (Jason Sanders kick),13,14,15.0,2022,212
,0:00,Bills,James Cook 4 yard pass from Josh Allen (Tyler Bass kick),13,21,15.0,2022,212
3.0,12:48,Dolphins,Jaylen Waddle 67 yard pass from Tua Tagovailoa (pass failed),19,21,15.0,2022,212
,2:30,Dolphins,Tyreek Hill 20 yard pass from Tua Tagovailoa (Jason Sanders kick),26,21,15.0,2022,212
4.0,11:56,Dolphins,Jason Sanders 47 yard field goal,29,21,15.0,2022,212
,9:02,Bills,Dawson Knox 5 yard pass from Josh Allen (Josh Allen run),29,29,15.0,2022,212
,0:00,Bills,Tyler Bass 25 yard field goal,29,32,15.0,2022,212
