Quarter,Time,Tm,Detail,PHI,CHI,week,year,game_id
2.0,11:50,Eagles,Jake Elliott 32 yard field goal,3,0,15.0,2022,215
,6:47,Bears,David Montgomery 9 yard rush (Cairo Santos kick failed),3,6,15.0,2022,215
,0:43,Eagles,Jalen Hurts 22 yard rush (Jake Elliott kick),10,6,15.0,2022,215
3.0,12:19,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),17,6,15.0,2022,215
,8:45,Bears,David Montgomery 10 yard pass from Justin Fields (Cairo Santos kick),17,13,15.0,2022,215
4.0,4:20,Eagles,Jalen Hurts 1 yard rush (Jalen Hurts run),25,13,15.0,2022,215
,2:43,Bears,Byron Pringle 35 yard pass from Justin Fields (Cairo Santos kick),25,20,15.0,2022,215
