Quarter,Time,Tm,Detail,DAL,JAX,week,year,game_id
1,4:31,Cowboys,Ezekiel Elliott 10 yard rush (Brett Maher kick),7,0,15.0,2022,216
2,13:01,Cowboys,Peyton Hendershot 20 yard pass from Dak Prescott (Brett Maher kick),14,0,15.0,2022,216
,7:45,Jaguars,Zay Jones 5 yard pass from Trevor Lawrence (Riley Patterson kick),14,7,15.0,2022,216
,1:55,Cowboys,Noah Brown 1 yard pass from Dak Prescott (Brett Maher kick),21,7,15.0,2022,216
3,10:35,Jaguars,Riley Patterson 33 yard field goal,21,10,15.0,2022,216
,7:36,Cowboys,Brett Maher 24 yard field goal,24,10,15.0,2022,216
,5:21,Cowboys,Brett Maher 53 yard field goal,27,10,15.0,2022,216
,3:57,Jaguars,Zay Jones 59 yard pass from Trevor Lawrence (Riley Patterson kick),27,17,15.0,2022,216
,1:23,Jaguars,Marvin Jones 10 yard pass from Trevor Lawrence (Riley Patterson kick),27,24,15.0,2022,216
4,10:03,Jaguars,Zay Jones 3 yard pass from Trevor Lawrence (Riley Patterson kick),27,31,15.0,2022,216
,3:02,Cowboys,Noah Brown 13 yard pass from Dak Prescott (Brett Maher kick),34,31,15.0,2022,216
,0:00,Jaguars,Riley Patterson 48 yard field goal,34,34,15.0,2022,216
OT,6:52,Jaguars,Rayshawn Jenkins 52 yard interception return,34,40,15.0,2022,216
