Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,15.0,2022,212
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 57 yards, returned by Raheem Mostert for 28 yards (tackle by Kaiir Elam)",0.0,1.33,15.0,2022,212
1.0,14:52,1.0,10.0,MIA 36,0.0,0.0,Raheem Mostert right guard for 13 yards (tackle by Damar Hamlin),1.33,2.19,15.0,2022,212
1.0,14:16,1.0,10.0,MIA 49,0.0,0.0,Raheem Mostert right tackle for 4 yards (tackle by Gregory Rousseau),2.19,2.19,15.0,2022,212
1.0,13:30,2.0,6.0,BUF 47,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Alec Ingold,2.19,1.49,15.0,2022,212
1.0,13:24,3.0,6.0,BUF 47,0.0,0.0,"Penalty on Robert Hunt: False Start, 5 yards (accepted) (no play)",1.49,0.83,15.0,2022,212
1.0,13:24,3.0,11.0,MIA 48,0.0,0.0,Tua Tagovailoa pass incomplete deep right intended for Jaylen Waddle,0.83,-0.19,15.0,2022,212
1.0,13:18,4.0,11.0,MIA 48,0.0,0.0,"Thomas Morstead punts 38 yards, returned by Nyheim Hines for no gain (tackle by Elandon Roberts). Penalty on Taiwan Jones: Offensive Holding, 7 yards (accepted) . Penalty on Siran Neal: Offensive Holding, 10 yards (declined)",-0.19,0.38,15.0,2022,212
1.0,13:06,1.0,10.0,BUF 7,0.0,0.0,Josh Allen pass complete short left to Dawson Knox for 11 yards (tackle by Verone McKinley and Noah Igbinoghene),-0.38,0.04,15.0,2022,212
1.0,12:28,1.0,10.0,BUF 18,0.0,0.0,Josh Allen pass complete deep left to Stefon Diggs for 16 yards (tackle by Kader Kohou),0.04,1.14,15.0,2022,212
1.0,11:44,1.0,10.0,BUF 33,0.0,0.0,Josh Allen pass incomplete deep left intended for Isaiah McKenzie,1.14,0.66,15.0,2022,212
1.0,11:38,2.0,10.0,BUF 34,0.0,0.0,Devin Singletary left guard for 1 yard (tackle by Jaelan Phillips),0.66,0.17,15.0,2022,212
