Unnamed: 0,KAN,HOU,week,year,game_id
First Downs,33,18,15.0,2022,218
Rush-Yds-TDs,33-189-2,28-94-1,15.0,2022,218
Cmp-Att-Yd-TD-INT,36-41-336-2-0,14-29-129-2-0,15.0,2022,218
Sacked-Yards,2-23,1-4,15.0,2022,218
Net Pass Yards,313,125,15.0,2022,218
Total Yards,502,219,15.0,2022,218
Fumbles-Lost,3-2,1-1,15.0,2022,218
Turnovers,2,1,15.0,2022,218
Penalties-Yards,10-102,4-33,15.0,2022,218
Third Down Conv.,6-12,4-10,15.0,2022,218
Fourth Down Conv.,0-0,0-0,15.0,2022,218
Time of Possession,37:22,27:25,15.0,2022,218
