Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Bears to receive the opening kickoff.",,,15.0,2022,215
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off no gain, returned by Velus Jones for 26 yards (no play)",0.0,2.92,15.0,2022,215
1.0,14:54,1.0,10.0,PHI 40,0.0,0.0,"Jake Elliott kicks off 60 yards, touchback.",2.92,0.61,15.0,2022,215
1.0,14:54,1.0,10.0,CHI 25,0.0,0.0,Justin Fields pass complete short left to Velus Jones for 3 yards (tackle by T.J. Edwards and Avonte Maddox),0.61,0.47,15.0,2022,215
1.0,14:15,2.0,7.0,CHI 28,0.0,0.0,"Penalty on Ryan Griffin: False Start, 4 yards (accepted) (no play)",0.47,-0.14,15.0,2022,215
1.0,13:56,2.0,12.0,CHI 24,0.0,0.0,Justin Fields left end for 6 yards (tackle by Josh Sweat and Kyzir White),-0.14,0.04,15.0,2022,215
1.0,13:20,3.0,5.0,CHI 30,0.0,0.0,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",0.04,-0.62,15.0,2022,215
1.0,13:06,3.0,10.0,CHI 25,0.0,0.0,Justin Fields pass complete short middle to Equanimeous St. Brown for 20 yards (tackle by James Bradberry),-0.62,1.93,15.0,2022,215
1.0,12:42,1.0,10.0,CHI 45,0.0,0.0,David Montgomery left end for 7 yards (tackle by K'Von Wallace),1.93,2.33,15.0,2022,215
1.0,12:18,2.0,3.0,PHI 48,0.0,0.0,David Montgomery left tackle for 2 yards (tackle by Josh Sweat and Kyzir White),2.33,1.88,15.0,2022,215
1.0,11:43,3.0,1.0,PHI 46,0.0,0.0,David Montgomery left tackle for 7 yards (tackle by T.J. Edwards),1.88,2.98,15.0,2022,215
1.0,10:58,1.0,10.0,PHI 39,0.0,0.0,David Montgomery left tackle for 2 yards (tackle by Josh Sweat and Linval Joseph),2.98,2.71,15.0,2022,215
1.0,10:20,2.0,8.0,PHI 37,0.0,0.0,Justin Fields pass complete short left to Cole Kmet for 7 yards (tackle by Milton Williams),2.71,2.94,15.0,2022,215
1.0,9:39,3.0,1.0,PHI 30,0.0,0.0,Justin Fields left end for -2 yards (tackle by K'Von Wallace),2.94,1.29,15.0,2022,215
1.0,9:02,4.0,3.0,PHI 32,0.0,0.0,Justin Fields pass incomplete short right intended for Dante Pettis,1.29,-1.07,15.0,2022,215
1.0,8:59,1.0,10.0,PHI 32,0.0,0.0,Jalen Hurts right tackle for 6 yards (tackle by Jaquan Brisker),1.07,1.34,15.0,2022,215
1.0,8:31,2.0,4.0,PHI 38,0.0,0.0,Jalen Hurts right tackle for 1 yard (tackle by Jack Sanborn and Trevis Gipson),1.34,0.76,15.0,2022,215
1.0,7:47,3.0,3.0,PHI 39,0.0,0.0,Jalen Hurts pass complete deep left to DeVonta Smith for 21 yards,0.76,2.92,15.0,2022,215
1.0,7:24,1.0,10.0,CHI 40,0.0,0.0,"Jalen Hurts pass intended for A.J. Brown is intercepted by Kyler Gordon at CHI-17 and returned for no gain (tackle by A.J. Brown). Penalty on Lane Johnson: Offensive Holding, 10 yards (declined)",2.92,0.06,15.0,2022,215
1.0,7:19,1.0,10.0,CHI 17,0.0,0.0,Justin Fields pass complete short middle to David Montgomery for 7 yards (tackle by Kyzir White),-0.06,0.48,15.0,2022,215
1.0,6:40,2.0,3.0,CHI 24,0.0,0.0,Justin Fields scrambles right end for 4 yards (tackle by Marcus Epps),0.48,0.81,15.0,2022,215
1.0,6:01,1.0,10.0,CHI 28,0.0,0.0,Justin Fields scrambles left end for 7 yards (tackle by Patrick Johnson),0.81,1.21,15.0,2022,215
1.0,5:12,2.0,3.0,CHI 35,0.0,0.0,Justin Fields pass complete short middle to Byron Pringle for 4 yards (tackle by K'Von Wallace),1.21,1.53,15.0,2022,215
1.0,4:38,1.0,10.0,CHI 39,0.0,0.0,Justin Fields left end for -2 yards (tackle by Josh Sweat),1.53,0.72,15.0,2022,215
1.0,4:04,2.0,12.0,CHI 37,0.0,0.0,David Montgomery left end for 2 yards (tackle by Kyzir White and Javon Hargrave),0.72,0.3,15.0,2022,215
