Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss, Commanders to receive the opening kickoff.",,,15.0,2022,223
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,223
1.0,15:00,1.0,10.0,WAS 25,0.0,0.0,Brian Robinson up the middle for 7 yards (tackle by Jaylon Smith),0.61,1.01,15.0,2022,223
1.0,14:30,2.0,3.0,WAS 32,0.0,0.0,Taylor Heinicke pass complete short right to Brian Robinson for 18 yards (tackle by Julian Love and Nick McCloud),1.01,2.26,15.0,2022,223
1.0,13:57,1.0,10.0,WAS 50,0.0,0.0,Curtis Samuel right end for -1 yards (tackle by Kayvon Thibodeaux and Azeez Ojulari),2.26,1.58,15.0,2022,223
1.0,13:21,2.0,11.0,WAS 49,0.0,0.0,"Taylor Heinicke pass complete to John Bates for no gain (tackle by Julian Love). Penalty on Darnay Holmes: Defensive Holding, 5 yards (accepted) (no play)",1.58,2.52,15.0,2022,223
1.0,12:58,1.0,10.0,NYG 46,0.0,0.0,Taylor Heinicke pass incomplete deep left intended for Logan Thomas (defended by Nick McCloud),2.52,1.98,15.0,2022,223
1.0,12:49,2.0,10.0,NYG 46,0.0,0.0,Brian Robinson right tackle for 5 yards (tackle by Jaylon Smith and Julian Love),1.98,1.95,15.0,2022,223
1.0,12:08,3.0,5.0,NYG 41,0.0,0.0,Taylor Heinicke pass complete short middle to Terry McLaurin for 4 yards (tackle by Jason Pinnock),1.95,0.79,15.0,2022,223
1.0,11:28,4.0,1.0,NYG 37,0.0,0.0,Brian Robinson left tackle for 5 yards (tackle by Kayvon Thibodeaux),0.79,3.45,15.0,2022,223
1.0,10:48,1.0,10.0,NYG 32,0.0,0.0,Curtis Samuel up the middle for -3 yards (tackle by Kayvon Thibodeaux),3.45,2.5,15.0,2022,223
1.0,10:12,2.0,13.0,NYG 35,0.0,0.0,Taylor Heinicke pass complete short middle to Antonio Gibson for 4 yards (tackle by Jaylon Smith),2.5,2.34,15.0,2022,223
1.0,9:33,3.0,9.0,NYG 31,0.0,0.0,Taylor Heinicke sacked by Ryder Anderson for -3 yards,2.34,1.06,15.0,2022,223
1.0,8:44,,,,,,Timeout #1 by New York Giants,,,15.0,2022,223
1.0,8:44,4.0,12.0,NYG 34,0.0,0.0,"Tress Way punts 27 yards, returned by Richie James for 23 yards (tackle by Khaleke Hudson and Jeremy Reaves)",1.06,-0.94,15.0,2022,223
1.0,8:33,1.0,10.0,NYG 30,0.0,0.0,Saquon Barkley right tackle for 3 yards (tackle by Jamin Davis and Montez Sweat),0.94,0.8,15.0,2022,223
1.0,7:59,2.0,7.0,NYG 33,0.0,0.0,Daniel Jones pass incomplete short middle intended for Darius Slayton (defended by Danny Johnson),0.8,0.1,15.0,2022,223
1.0,7:54,3.0,7.0,NYG 33,0.0,0.0,Daniel Jones pass incomplete short right intended for Darius Slayton (defended by Danny Johnson),0.1,-1.18,15.0,2022,223
1.0,7:50,4.0,7.0,NYG 33,0.0,0.0,"Jamie Gillan punts 37 yards, fair catch by Dax Milne at WAS-30",-1.18,-0.94,15.0,2022,223
1.0,7:43,1.0,10.0,WAS 30,0.0,0.0,"Penalty on Kayvon Thibodeaux: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.94,1.67,15.0,2022,223
1.0,7:43,1.0,5.0,WAS 35,0.0,0.0,Brian Robinson right guard for 15 yards (tackle by Cordale Flott and Ryder Anderson),1.67,2.26,15.0,2022,223
1.0,6:57,1.0,10.0,WAS 50,0.0,0.0,Curtis Samuel right end for 2 yards (tackle by Kayvon Thibodeaux),2.26,1.98,15.0,2022,223
1.0,6:19,2.0,8.0,NYG 48,0.0,0.0,Taylor Heinicke right end for 9 yards (tackle by Jaylon Smith),1.98,2.98,15.0,2022,223
1.0,5:42,1.0,10.0,NYG 39,0.0,0.0,Antonio Gibson left end for 4 yards (tackle by Azeez Ojulari),2.98,2.98,15.0,2022,223
1.0,5:01,2.0,6.0,NYG 35,0.0,0.0,Antonio Gibson right end for 10 yards (tackle by Julian Love),2.98,3.91,15.0,2022,223
1.0,4:18,1.0,10.0,NYG 25,0.0,0.0,Brian Robinson right guard for -2 yards (tackle by Kayvon Thibodeaux),3.91,3.09,15.0,2022,223
1.0,3:39,2.0,12.0,NYG 27,0.0,0.0,Taylor Heinicke pass incomplete short right intended for Antonio Gibson,3.09,2.41,15.0,2022,223
1.0,3:33,3.0,12.0,NYG 27,0.0,0.0,"Penalty on WAS: Delay of Game, 5 yards (accepted) (no play)",2.41,1.75,15.0,2022,223
1.0,3:33,3.0,17.0,NYG 32,0.0,0.0,"Penalty on Jahan Dotson: False Start, 5 yards (accepted) (no play)",1.75,1.09,15.0,2022,223
1.0,3:33,3.0,22.0,NYG 37,0.0,0.0,Taylor Heinicke pass complete short middle to Curtis Samuel for 14 yards (tackle by Julian Love and Landon Collins),1.09,1.93,15.0,2022,223
1.0,2:56,4.0,8.0,NYG 23,0.0,3.0,Joey Slye 41 yard field goal good,1.93,3.0,15.0,2022,223
1.0,2:51,,,WAS 35,0.0,3.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,223
1.0,2:51,1.0,10.0,NYG 25,0.0,3.0,Daniel Jones pass complete short left to Saquon Barkley for 9 yards (tackle by Jamin Davis),0.61,1.28,15.0,2022,223
1.0,2:39,2.0,1.0,NYG 34,0.0,3.0,Saquon Barkley up the middle for 2 yards (tackle by Jamin Davis and Montez Sweat),1.28,1.33,15.0,2022,223
1.0,1:58,1.0,10.0,NYG 36,0.0,3.0,Saquon Barkley left end for 4 yards (tackle by Jamin Davis and Daron Payne),1.33,1.33,15.0,2022,223
1.0,1:05,2.0,6.0,NYG 40,0.0,3.0,"Penalty on Evan Neal: False Start, 5 yards (accepted) (no play)",1.33,0.66,15.0,2022,223
1.0,0:52,2.0,11.0,NYG 35,0.0,3.0,Daniel Jones right guard for 5 yards (tackle by Kamren Curl),0.66,0.63,15.0,2022,223
2.0,15:00,3.0,6.0,NYG 40,0.0,3.0,Daniel Jones pass complete short right to Isaiah Hodgins for 4 yards (tackle by Bobby McCain),0.63,-0.46,15.0,2022,223
2.0,14:15,4.0,2.0,NYG 44,0.0,3.0,"Jamie Gillan punts 38 yards, fair catch by Dax Milne at WAS-18",-0.46,-0.04,15.0,2022,223
2.0,14:08,1.0,10.0,WAS 18,0.0,3.0,Antonio Gibson up the middle for 2 yards (tackle by Jaylon Smith and Kayvon Thibodeaux),0.04,-0.13,15.0,2022,223
2.0,13:47,2.0,8.0,WAS 20,0.0,3.0,"Antonio Gibson for no gain. Penalty on Cornelius Lucas: Offensive Holding, 10 yards (accepted) (no play)",-0.13,-1.36,15.0,2022,223
2.0,13:18,2.0,18.0,WAS 10,6.0,3.0,"Taylor Heinicke sacked by Kayvon Thibodeaux for -9 yards. Taylor Heinicke fumbles (forced by Kayvon Thibodeaux), recovered by Kayvon Thibodeaux at WAS-1 and returned for 1 yard, touchdown",-1.36,-7.0,15.0,2022,223
2.0,13:10,,,WAS 15,7.0,3.0,Graham Gano kicks extra point good,0.0,0.0,15.0,2022,223
2.0,13:10,,,NYG 35,7.0,3.0,"Graham Gano kicks off 61 yards, returned by Antonio Gibson for 28 yards (tackle by Carter Coughlin)",0.0,1.07,15.0,2022,223
2.0,13:05,1.0,10.0,WAS 32,7.0,3.0,Brian Robinson right tackle for 13 yards (tackle by Julian Love and Jason Pinnock),1.07,1.93,15.0,2022,223
2.0,12:32,1.0,10.0,WAS 45,7.0,3.0,Brian Robinson left end for no gain (tackle by Landon Collins),1.93,1.38,15.0,2022,223
2.0,11:53,2.0,10.0,WAS 45,7.0,3.0,Brian Robinson left end for 11 yards. Brian Robinson fumbles (forced by Jason Pinnock),1.38,2.65,15.0,2022,223
2.0,11:20,1.0,10.0,NYG 44,7.0,3.0,Taylor Heinicke pass incomplete deep middle intended for Dyami Brown,2.65,2.11,15.0,2022,223
2.0,11:13,2.0,10.0,NYG 44,7.0,3.0,Antonio Gibson left tackle for 4 yards (tackle by Dexter Lawrence and Jaylon Smith),2.11,1.95,15.0,2022,223
2.0,10:35,3.0,6.0,NYG 40,7.0,3.0,Taylor Heinicke pass incomplete deep left intended for Curtis Samuel (defended by Jason Pinnock),1.95,0.59,15.0,2022,223
2.0,10:28,4.0,6.0,NYG 40,7.0,3.0,Tress Way punts 37 yards downed by Dyami Brown,0.59,0.38,15.0,2022,223
2.0,10:18,1.0,10.0,NYG 3,7.0,3.0,Saquon Barkley left guard for 2 yards (tackle by David Mayo),-0.38,-0.63,15.0,2022,223
2.0,9:41,2.0,8.0,NYG 5,7.0,3.0,Daniel Jones pass complete short left to Nick Vannett for 15 yards (tackle by Kamren Curl),-0.63,0.28,15.0,2022,223
2.0,9:14,1.0,10.0,NYG 20,7.0,3.0,Daniel Jones pass complete short right to Saquon Barkley for 4 yards (tackle by Bobby McCain),0.28,0.27,15.0,2022,223
2.0,8:34,2.0,6.0,NYG 24,7.0,3.0,Daniel Jones pass complete short left to Saquon Barkley for 6 yards (tackle by Darrick Forrest),0.27,0.94,15.0,2022,223
2.0,8:02,1.0,10.0,NYG 30,7.0,3.0,Saquon Barkley left end for -5 yards (tackle by Jonathan Allen),0.94,-0.28,15.0,2022,223
2.0,7:23,2.0,15.0,NYG 25,7.0,3.0,Daniel Jones pass complete short middle to Richie James for 6 yards (tackle by Bobby McCain),-0.28,-0.16,15.0,2022,223
2.0,6:32,3.0,9.0,NYG 31,7.0,3.0,Daniel Jones pass complete short left to Richie James for 10 yards (tackle by Bobby McCain),-0.16,1.66,15.0,2022,223
2.0,5:56,1.0,10.0,NYG 41,7.0,3.0,Matt Breida up the middle for 5 yards (tackle by Jonathan Allen),1.66,1.8,15.0,2022,223
2.0,5:08,2.0,5.0,NYG 46,7.0,3.0,Daniel Jones pass complete short left to Isaiah Hodgins for 7 yards (tackle by Kendall Fuller),1.8,2.46,15.0,2022,223
2.0,4:31,1.0,10.0,WAS 47,7.0,3.0,Daniel Jones pass complete short left to Isaiah Hodgins for 7 yards (tackle by Danny Johnson),2.46,2.86,15.0,2022,223
2.0,3:55,2.0,3.0,WAS 40,7.0,3.0,Saquon Barkley left end for 4 yards (tackle by Danny Johnson and Kamren Curl),2.86,3.18,15.0,2022,223
