Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Colts to receive the opening kickoff.",,,15.0,2022,210
1,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 66 yards, returned by Dallis Flowers for 49 yards (tackle by Greg Joseph)",0.0,2.13,15.0,2022,210
1,14:52,1.0,10.0,IND 48,0.0,0.0,Michael Pittman left end for 19 yards (tackle by Jordan Hicks),2.13,3.38,15.0,2022,210
1,14:12,1.0,10.0,MIN 33,0.0,0.0,Matt Ryan sacked by Danielle Hunter for -4 yards,3.38,2.3,15.0,2022,210
1,13:38,2.0,14.0,MIN 37,0.0,0.0,Matt Ryan pass complete short left to Jonathan Taylor for 13 yards (tackle by Harrison Smith),2.3,3.34,15.0,2022,210
1,12:58,3.0,1.0,MIN 24,0.0,0.0,Ashton Dulin left end for 5 yards (tackle by Patrick Peterson),3.34,4.31,15.0,2022,210
1,12:28,1.0,10.0,MIN 19,0.0,0.0,Zack Moss left guard for 5 yards (tackle by Eric Kendricks),4.31,4.53,15.0,2022,210
1,11:55,2.0,5.0,MIN 14,0.0,0.0,Zack Moss left tackle for -1 yards (tackle by Jordan Hicks and Harrison Phillips),4.53,3.58,15.0,2022,210
1,11:15,3.0,6.0,MIN 15,0.0,0.0,Matt Ryan pass complete short middle to Michael Pittman for 11 yards (tackle by Chandon Sullivan),3.58,6.28,15.0,2022,210
1,10:40,1.0,4.0,MIN 4,0.0,0.0,Matt Ryan pass incomplete short right,6.28,5.34,15.0,2022,210
1,10:36,2.0,4.0,MIN 4,0.0,0.0,Zack Moss up the middle for 3 yards (tackle by Eric Kendricks and James Lynch),5.34,5.17,15.0,2022,210
1,9:59,,,,,,Timeout #1 by Indianapolis Colts,,,15.0,2022,210
1,9:59,3.0,1.0,MIN 1,0.0,0.0,Zack Moss left end for -7 yards (tackle by Eric Kendricks and Dalvin Tomlinson),5.17,2.95,15.0,2022,210
1,9:15,4.0,8.0,MIN 8,3.0,0.0,Chase McLaughlin 26 yard field goal good,2.95,3.0,15.0,2022,210
1,9:11,,,IND 35,3.0,0.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,210
1,9:11,1.0,10.0,MIN 25,3.0,0.0,"Kirk Cousins pass complete short middle to Dalvin Cook for no gain (tackle by Zaire Franklin). Penalty on Stephon Gilmore: Defensive Holding, 5 yards (accepted) (no play)",0.61,0.94,15.0,2022,210
1,8:49,1.0,10.0,MIN 30,3.0,0.0,Kirk Cousins pass complete short right to Justin Jefferson for 4 yards (tackle by Stephon Gilmore),0.94,0.93,15.0,2022,210
1,8:31,2.0,6.0,MIN 34,3.0,0.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Stephon Gilmore),0.93,0.23,15.0,2022,210
1,8:24,3.0,6.0,MIN 34,3.0,0.0,Kirk Cousins pass incomplete short right intended for K.J. Osborn,0.23,-1.11,15.0,2022,210
1,8:20,4.0,6.0,MIN 34,9.0,0.0,"Ryan Wright punts blocked by Ifeadi Odenigbo, touchdown",-1.11,-7.0,15.0,2022,210
1,8:12,,,MIN 15,10.0,0.0,Chase McLaughlin kicks extra point good,0.0,0.0,15.0,2022,210
1,8:12,,,IND 35,10.0,0.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,210
1,8:12,1.0,10.0,MIN 25,10.0,0.0,Dalvin Cook left end for 40 yards (tackle by Rodney McLeod),0.61,3.25,15.0,2022,210
1,7:33,1.0,10.0,IND 35,10.0,0.0,"Dalvin Cook up the middle for 4 yards. Dalvin Cook fumbles (forced by Zaire Franklin), recovered by Isaiah Rodgers at IND-30 and returned for 4 yards (tackle by Adam Thielen)",3.25,-1.2,15.0,2022,210
1,7:20,1.0,10.0,IND 34,10.0,0.0,Deon Jackson left tackle for 3 yards (tackle by James Lynch and Khyiris Tonga),1.2,1.06,15.0,2022,210
1,6:48,2.0,7.0,IND 37,10.0,0.0,Deon Jackson right tackle for 6 yards (tackle by Chandon Sullivan),1.06,1.16,15.0,2022,210
1,6:28,3.0,1.0,IND 43,10.0,0.0,Deon Jackson left guard for 2 yards (tackle by Harrison Phillips),1.16,1.93,15.0,2022,210
1,5:55,1.0,10.0,IND 45,10.0,0.0,Matt Ryan pass complete short right to Jelani Woods for 36 yards (tackle by Camryn Bynum and Eric Kendricks),1.93,4.31,15.0,2022,210
1,5:15,1.0,10.0,MIN 19,10.0,0.0,Zack Moss right guard for 5 yards (tackle by Khyiris Tonga),4.31,4.53,15.0,2022,210
