Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Matt Ryan,IND,3,0,0,1,15.0,2022,210
Zack Moss,IND,24,81,0,11,15.0,2022,210
Deon Jackson,IND,13,55,0,16,15.0,2022,210
Michael Pittman Jr.,IND,2,30,0,19,15.0,2022,210
Ashton Dulin,IND,1,5,0,5,15.0,2022,210
Jelani Woods,IND,0,0,0,0,15.0,2022,210
Kylen Granson,IND,0,0,0,0,15.0,2022,210
Parris Campbell,IND,0,0,0,0,15.0,2022,210
Jonathan Taylor,IND,0,0,0,0,15.0,2022,210
Alec Pierce,IND,0,0,0,0,15.0,2022,210
Mo Alie-Cox,IND,0,0,0,0,15.0,2022,210
Kirk Cousins,MIN,2,0,0,1,15.0,2022,210
Ryan Wright,MIN,0,0,0,0,15.0,2022,210
Dalvin Cook,MIN,17,95,0,40,15.0,2022,210
C.J. Ham,MIN,2,1,1,1,15.0,2022,210
Alexander Mattison,MIN,2,1,0,1,15.0,2022,210
K.J. Osborn,MIN,0,0,0,0,15.0,2022,210
Justin Jefferson,MIN,0,0,0,0,15.0,2022,210
Adam Thielen,MIN,0,0,0,0,15.0,2022,210
T.J. Hockenson,MIN,0,0,0,0,15.0,2022,210
Johnny Mundt,MIN,0,0,0,0,15.0,2022,210
Jalen Nailor,MIN,0,0,0,0,15.0,2022,210
Jalen Reagor,MIN,1,-5,0,-5,15.0,2022,210
