Quarter,Time,Tm,Detail,ATL,NOR,week,year,game_id
1.0,10:06,Saints,Juwan Johnson 19 yard pass from Andy Dalton (Wil Lutz kick),0,7,15.0,2022,213
,8:17,Saints,Rashid Shaheed 68 yard pass from Taysom Hill (Wil Lutz kick),0,14,15.0,2022,213
2.0,11:15,Falcons,Younghoe Koo 28 yard field goal,3,14,15.0,2022,213
3.0,10:46,Falcons,Tyler Allgeier 5 yard rush (Younghoe Koo kick),10,14,15.0,2022,213
,3:34,Saints,Juwan Johnson 22 yard pass from Andy Dalton (Wil Lutz kick),10,21,15.0,2022,213
4.0,7:07,Falcons,Cordarrelle Patterson 3 yard rush (Tyler Allgeier run),18,21,15.0,2022,213
