Unnamed: 0,DET,NYJ,week,year,game_id
First Downs,17,18,15.0,2022,217
Rush-Yds-TDs,28-107-0,22-50-0,15.0,2022,217
Cmp-Att-Yd-TD-INT,23-38-252-1-0,18-35-317-2-1,15.0,2022,217
Sacked-Yards,0-0,4-30,15.0,2022,217
Net Pass Yards,252,287,15.0,2022,217
Total Yards,359,337,15.0,2022,217
Fumbles-Lost,0-0,0-0,15.0,2022,217
Turnovers,0,1,15.0,2022,217
Penalties-Yards,6-52,2-20,15.0,2022,217
Third Down Conv.,5-15,7-14,15.0,2022,217
Fourth Down Conv.,2-3,1-1,15.0,2022,217
Time of Possession,32:32,27:28,15.0,2022,217
