Unnamed: 0,BAL,CLE,week,year,game_id
First Downs,17,19,15.0,2022,211
Rush-Yds-TDs,28-198-0,33-143-0,15.0,2022,211
Cmp-Att-Yd-TD-INT,17-30-138-0-1,18-28-161-1-0,15.0,2022,211
Sacked-Yards,3-12,3-21,15.0,2022,211
Net Pass Yards,126,140,15.0,2022,211
Total Yards,324,283,15.0,2022,211
Fumbles-Lost,4-1,0-0,15.0,2022,211
Turnovers,2,0,15.0,2022,211
Penalties-Yards,3-25,3-32,15.0,2022,211
Third Down Conv.,5-12,5-15,15.0,2022,211
Fourth Down Conv.,0-3,2-2,15.0,2022,211
Time of Possession,26:52,33:08,15.0,2022,211
