Unnamed: 0,PIT,CAR,week,year,game_id
First Downs,22,12,15.0,2022,214
Rush-Yds-TDs,45-156-3,16-21-0,15.0,2022,214
Cmp-Att-Yd-TD-INT,17-22-179-0-0,14-23-225-1-0,15.0,2022,214
Sacked-Yards,1-10,4-37,15.0,2022,214
Net Pass Yards,169,188,15.0,2022,214
Total Yards,325,209,15.0,2022,214
Fumbles-Lost,0-0,1-0,15.0,2022,214
Turnovers,0,0,15.0,2022,214
Penalties-Yards,7-81,5-40,15.0,2022,214
Third Down Conv.,12-16,4-11,15.0,2022,214
Fourth Down Conv.,0-0,0-0,15.0,2022,214
Time of Possession,36:11,23:49,15.0,2022,214
