Unnamed: 0,NYG,WAS,week,year,game_id
First Downs,19,20,15.0,2022,223
Rush-Yds-TDs,30-128-1,26-159-0,15.0,2022,223
Cmp-Att-Yd-TD-INT,21-32-160-0-0,17-29-249-1-0,15.0,2022,223
Sacked-Yards,0-0,3-21,15.0,2022,223
Net Pass Yards,160,228,15.0,2022,223
Total Yards,288,387,15.0,2022,223
Fumbles-Lost,1-0,4-2,15.0,2022,223
Turnovers,0,2,15.0,2022,223
Penalties-Yards,5-30,6-40,15.0,2022,223
Third Down Conv.,2-10,1-10,15.0,2022,223
Fourth Down Conv.,1-1,1-2,15.0,2022,223
Time of Possession,30:30,29:30,15.0,2022,223
