Unnamed: 0,PHI,CHI,week,year,game_id
First Downs,20,15,15.0,2022,215
Rush-Yds-TDs,33-112-3,30-157-1,15.0,2022,215
Cmp-Att-Yd-TD-INT,22-37-315-0-2,14-22-152-2-0,15.0,2022,215
Sacked-Yards,1-6,6-61,15.0,2022,215
Net Pass Yards,309,91,15.0,2022,215
Total Yards,421,248,15.0,2022,215
Fumbles-Lost,1-1,4-1,15.0,2022,215
Turnovers,3,1,15.0,2022,215
Penalties-Yards,2-25,6-30,15.0,2022,215
Third Down Conv.,9-16,5-13,15.0,2022,215
Fourth Down Conv.,1-2,0-1,15.0,2022,215
Time of Possession,29:53,30:07,15.0,2022,215
