Quarter,Time,Down,ToGo,Location,CIN,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Bengals to receive the opening kickoff.",,,15.0,2022,221
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,221
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 12 yards (tackle by Carlton Davis and Devin White),0.61,1.4,15.0,2022,221
1.0,14:30,1.0,10.0,CIN 37,0.0,0.0,Joe Burrow pass complete short middle to Tee Higgins for 7 yards (tackle by Keanu Neal),1.4,1.8,15.0,2022,221
1.0,13:53,2.0,3.0,CIN 44,0.0,0.0,Joe Mixon up the middle for 5 yards (tackle by Keanu Neal and Joe Tryon-Shoyinka),1.8,2.19,15.0,2022,221
1.0,13:13,1.0,10.0,CIN 49,0.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 11 yards (tackle by Joe Tryon-Shoyinka),2.19,2.92,15.0,2022,221
1.0,12:32,1.0,10.0,TAM 40,0.0,0.0,Joe Burrow pass short left (defended by Keanu Neal) intended for Ja'Marr Chase is intercepted by Carlton Davis at TB-30 and returned for no gain (tackle by Ja'Marr Chase),2.92,-0.94,15.0,2022,221
1.0,12:26,1.0,10.0,TAM 30,0.0,0.0,Tom Brady pass complete short right to Chris Godwin for 5 yards (tackle by Daxton Hill),0.94,1.07,15.0,2022,221
1.0,11:52,2.0,5.0,TAM 35,0.0,0.0,Tom Brady pass incomplete deep right intended for Mike Evans (defended by Eli Apple),1.07,0.37,15.0,2022,221
1.0,11:46,3.0,5.0,TAM 35,0.0,0.0,Tom Brady pass complete short middle to Russell Gage for 6 yards (tackle by Logan Wilson),0.37,1.66,15.0,2022,221
1.0,11:10,1.0,10.0,TAM 41,0.0,0.0,Rachaad White left tackle for 1 yard (tackle by B.J. Hill and Germaine Pratt),1.66,1.26,15.0,2022,221
1.0,10:35,2.0,9.0,TAM 42,0.0,0.0,Rachaad White up the middle for 1 yard (tackle by D.J. Reader and Sam Hubbard),1.26,0.7,15.0,2022,221
1.0,9:57,3.0,8.0,TAM 43,0.0,0.0,Tom Brady pass complete short middle to Mike Evans for 16 yards (tackle by Cam Taylor-Britt),0.7,2.85,15.0,2022,221
1.0,9:20,1.0,10.0,CIN 41,0.0,0.0,Tom Brady pass complete short right to Cade Otton for 20 yards (tackle by Daxton Hill),2.85,4.17,15.0,2022,221
1.0,8:39,1.0,10.0,CIN 21,0.0,0.0,Rachaad White left guard for 4 yards (tackle by Daxton Hill and Josh Tupou),4.17,4.2,15.0,2022,221
1.0,7:55,2.0,6.0,CIN 17,0.0,0.0,Rachaad White right guard for 6 yards (tackle by Daxton Hill and Logan Wilson),4.2,4.84,15.0,2022,221
1.0,7:21,1.0,10.0,CIN 11,0.0,0.0,Rachaad White up the middle for 7 yards (tackle by Vonn Bell),4.84,5.47,15.0,2022,221
1.0,7:00,2.0,3.0,CIN 4,0.0,0.0,Tom Brady pass incomplete short middle intended for Russell Gage (defended by Jessie Bates),5.47,4.67,15.0,2022,221
1.0,6:55,3.0,3.0,CIN 4,0.0,0.0,Tom Brady up the middle for 1 yard (tackle by Logan Wilson),4.67,3.05,15.0,2022,221
1.0,6:10,4.0,2.0,CIN 3,0.0,3.0,Ryan Succop 21 yard field goal good,3.05,3.0,15.0,2022,221
1.0,6:06,,,TAM 35,0.0,3.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,221
1.0,6:06,1.0,10.0,CIN 25,0.0,3.0,Joe Burrow pass complete short left to Ja'Marr Chase for 5 yards (tackle by Anthony Nelson),0.61,0.74,15.0,2022,221
1.0,5:33,2.0,5.0,CIN 30,0.0,3.0,Samaje Perine left end for 1 yard (tackle by William Gholston and Devin White),0.74,0.17,15.0,2022,221
1.0,4:48,3.0,4.0,CIN 31,0.0,3.0,Joe Burrow sacked by and Joe Tryon-Shoyinka for -6 yards and Anthony Nelson for -6 yards,0.17,-1.7,15.0,2022,221
1.0,4:07,4.0,10.0,CIN 25,0.0,3.0,"Drue Chrisman punts 43 yards, returned by Deven Thompkins for 9 yards (tackle by Stanley Morgan)",-1.7,-1.66,15.0,2022,221
1.0,3:58,1.0,10.0,TAM 41,0.0,3.0,"Tom Brady pass complete short middle to Mike Evans for 24 yards (tackle by Vonn Bell and Cam Taylor-Britt). Penalty on Chris Godwin: Illegal Blindside Block, 15 yards (accepted)",1.66,2.98,15.0,2022,221
1.0,3:34,1.0,1.0,CIN 50,0.0,3.0,Leonard Fournette right tackle for 1 yard (tackle by Daxton Hill and Germaine Pratt),2.98,2.32,15.0,2022,221
1.0,2:55,1.0,10.0,CIN 49,0.0,3.0,Tom Brady pass incomplete short right,2.32,1.78,15.0,2022,221
1.0,2:51,2.0,10.0,CIN 49,0.0,3.0,Tom Brady pass complete short middle to Chris Godwin for 9 yards (tackle by Logan Wilson and Germaine Pratt),1.78,2.28,15.0,2022,221
1.0,2:07,3.0,1.0,CIN 40,0.0,3.0,Tom Brady pass incomplete short left intended for Mike Evans,2.28,0.59,15.0,2022,221
1.0,2:03,4.0,1.0,CIN 40,0.0,3.0,"Tom Brady pass complete short right to Mike Evans for 7 yards (tackle by Eli Apple) CIN challenged the pass completion ruling, and the play was upheld.",0.59,3.38,15.0,2022,221
1.0,1:29,1.0,10.0,CIN 33,0.0,3.0,Tom Brady pass complete deep right to Mike Evans for 24 yards (tackle by Jessie Bates),3.38,5.14,15.0,2022,221
1.0,0:45,1.0,9.0,CIN 9,0.0,3.0,Leonard Fournette right tackle for 4 yards (tackle by Germaine Pratt),5.14,5.15,15.0,2022,221
1.0,0:03,2.0,5.0,CIN 5,0.0,3.0,"Chris Godwin right end for no gain (tackle by Logan Wilson and Germaine Pratt). Penalty on Germaine Pratt: Defensive Offside, 2 yards (accepted) (no play)",5.15,5.53,15.0,2022,221
2.0,15:00,2.0,3.0,CIN 3,0.0,3.0,Leonard Fournette up the middle for 2 yards (tackle by D.J. Reader and Josh Tupou),5.53,5.17,15.0,2022,221
2.0,14:24,3.0,1.0,CIN 1,0.0,3.0,Tom Brady pass incomplete short right intended for Russell Gage (defended by Germaine Pratt),5.17,3.55,15.0,2022,221
2.0,14:17,4.0,1.0,CIN 1,0.0,9.0,"Tom Brady pass complete to Russell Gage for 1 yard, touchdown",3.55,7.0,15.0,2022,221
2.0,14:11,,,CIN 15,0.0,10.0,Ryan Succop kicks extra point good,0.0,0.0,15.0,2022,221
2.0,14:11,,,TAM 35,0.0,10.0,"Jake Camarda kicks off 63 yards, returned by Trayveon Williams for 20 yards (tackle by K.J. Britt and Ke'Shawn Vaughn)",0.0,0.41,15.0,2022,221
