Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Browns to receive the opening kickoff.",,,15.0,2022,211
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, returned by Jerome Ford for 21 yards (tackle by Justin Tucker and James Proche). Penalty on Jordan Kunaszyk: Defensive Holding, 10 yards (accepted)",0.0,-0.37,15.0,2022,211
1.0,14:54,1.0,10.0,CLE 11,0.0,0.0,Deshaun Watson pass complete short left to Demetric Felton for 5 yards (tackle by Marlon Humphrey),-0.37,-0.3,15.0,2022,211
1.0,14:20,2.0,5.0,CLE 16,0.0,0.0,Nick Chubb left end for -1 yards (tackle by Tyus Bowser),-0.3,-0.95,15.0,2022,211
1.0,13:37,3.0,6.0,CLE 15,0.0,0.0,Deshaun Watson pass incomplete deep right,-0.95,-2.44,15.0,2022,211
1.0,13:29,4.0,6.0,CLE 15,0.0,0.0,"Corey Bojorquez punts 70 yards, recovered by Devin Duvernay at BAL-15, returned by Devin Duvernay for 7 yards (tackle by Tae Davis)",-2.44,-0.41,15.0,2022,211
1.0,13:17,1.0,10.0,BAL 22,0.0,0.0,"Tyler Huntley pass complete short right to Demarcus Robinson for -7 yards. Demarcus Robinson fumbles, ball out of bounds at BAL-15. Demarcus Robinson fumbles out of bounds",0.41,-1.21,15.0,2022,211
1.0,12:36,2.0,17.0,BAL 15,0.0,0.0,Tyler Huntley pass complete short right to Josh Oliver for 8 yards (tackle by Tony Fields and Deion Jones),-1.21,-0.69,15.0,2022,211
1.0,11:50,3.0,9.0,BAL 23,0.0,0.0,"Tyler Huntley pass incomplete short right intended for Mark Andrews. Penalty on Martin Emerson: Defensive Pass Interference, 12 yards (accepted) (no play)",-0.69,1.27,15.0,2022,211
1.0,11:46,1.0,10.0,BAL 35,0.0,0.0,J.K. Dobbins for 6 yards (tackle by Tony Fields and Ronnie Harrison),1.27,1.53,15.0,2022,211
1.0,11:07,2.0,4.0,BAL 41,0.0,0.0,Gus Edwards left tackle for 25 yards (tackle by Grant Delpit),1.53,3.31,15.0,2022,211
1.0,10:21,1.0,10.0,CLE 34,0.0,0.0,Tyler Huntley left end for 2 yards (tackle by Greg Newsome),3.31,3.04,15.0,2022,211
1.0,9:46,2.0,8.0,CLE 32,0.0,0.0,J.K. Dobbins left tackle for 16 yards (tackle by Denzel Ward),3.04,4.51,15.0,2022,211
1.0,8:59,1.0,10.0,CLE 16,0.0,0.0,J.K. Dobbins left guard for 3 yards (tackle by John Johnson and Taven Bryan),4.51,4.39,15.0,2022,211
1.0,8:21,2.0,7.0,CLE 13,0.0,0.0,Tyler Huntley pass complete short left to Josh Oliver for 5 yards (tackle by Tony Fields),4.39,4.62,15.0,2022,211
1.0,7:37,3.0,2.0,CLE 8,0.0,0.0,Gus Edwards left guard for 1 yard (tackle by Myles Garrett),4.62,3.01,15.0,2022,211
1.0,6:58,4.0,1.0,CLE 7,0.0,0.0,Patrick Ricard right guard for no gain (tackle by John Johnson and Jadeveon Clowney),3.01,0.38,15.0,2022,211
1.0,6:52,1.0,10.0,CLE 7,0.0,0.0,Deshaun Watson pass complete short left to Donovan Peoples-Jones for 14 yards (tackle by Marlon Humphrey),-0.38,0.34,15.0,2022,211
1.0,6:13,1.0,10.0,CLE 21,0.0,0.0,Nick Chubb right guard for 7 yards (tackle by Patrick Queen and Kyle Hamilton),0.34,0.75,15.0,2022,211
1.0,5:40,2.0,3.0,CLE 28,0.0,0.0,Deshaun Watson pass incomplete short left intended for Nick Chubb,0.75,0.04,15.0,2022,211
1.0,5:34,3.0,3.0,CLE 28,0.0,0.0,Deshaun Watson right tackle for 6 yards (tackle by Chuck Clark),0.04,1.2,15.0,2022,211
1.0,4:58,1.0,10.0,CLE 34,0.0,0.0,Deshaun Watson pass complete short right to Amari Cooper for 10 yards (tackle by Marcus Peters),1.2,1.86,15.0,2022,211
1.0,4:15,1.0,10.0,CLE 44,0.0,0.0,Nick Chubb right guard for 1 yard (tackle by Odafe Oweh and Roquan Smith),1.86,1.45,15.0,2022,211
