Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Mitchell Trubisky,PIT,17,22,179,0,0,1,10,38,100.4,15.0,2022,214
Najee Harris,PIT,0,0,0,0,0,0,0,0,,15.0,2022,214
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,15.0,2022,214
Steven Sims,PIT,0,0,0,0,0,0,0,0,,15.0,2022,214
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,15.0,2022,214
Derek Watt,PIT,0,0,0,0,0,0,0,0,,15.0,2022,214
George Pickens,PIT,0,0,0,0,0,0,0,0,,15.0,2022,214
Zach Gentry,PIT,0,0,0,0,0,0,0,0,,15.0,2022,214
Gunner Olszewski,PIT,0,0,0,0,0,0,0,0,,15.0,2022,214
Miles Boykin,PIT,0,0,0,0,0,0,0,0,,15.0,2022,214
Sam Darnold,CAR,14,23,225,1,0,4,37,45,108.1,15.0,2022,214
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,15.0,2022,214
D'Onta Foreman,CAR,0,0,0,0,0,0,0,0,,15.0,2022,214
D.J. Moore,CAR,0,0,0,0,0,0,0,0,,15.0,2022,214
Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,15.0,2022,214
Shi Smith,CAR,0,0,0,0,0,0,0,0,,15.0,2022,214
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,15.0,2022,214
Laviska Shenault Jr.,CAR,0,0,0,0,0,0,0,0,,15.0,2022,214
