Unnamed: 0,DAL,JAX,week,year,game_id
First Downs,24,26,15.0,2022,216
Rush-Yds-TDs,41-154-1,27-192-0,15.0,2022,216
Cmp-Att-Yd-TD-INT,23-30-256-3-2,27-42-318-4-1,15.0,2022,216
Sacked-Yards,3-13,1-7,15.0,2022,216
Net Pass Yards,243,311,15.0,2022,216
Total Yards,397,503,15.0,2022,216
Fumbles-Lost,0-0,2-2,15.0,2022,216
Turnovers,2,3,15.0,2022,216
Penalties-Yards,2-18,4-37,15.0,2022,216
Third Down Conv.,9-16,8-12,15.0,2022,216
Fourth Down Conv.,0-0,0-0,15.0,2022,216
Time of Possession,35:26,27:42,15.0,2022,216
