Quarter,Time,Tm,Detail,KAN,HOU,week,year,game_id
1,1:01,Texans,Teagan Quitoriano 8 yard pass from Davis Mills (Ka'imi Fairbairn kick),0,7,15.0,2022,218
2,12:27,Chiefs,Jerick McKinnon 20 yard pass from Patrick Mahomes (Harrison Butker kick),7,7,15.0,2022,218
,9:19,Texans,Davis Mills 17 yard rush (Ka'imi Fairbairn kick),7,14,15.0,2022,218
,0:14,Chiefs,Marquez Valdes-Scantling 4 yard pass from Patrick Mahomes (Harrison Butker kick failed),13,14,15.0,2022,218
3,9:05,Chiefs,Harrison Butker 27 yard field goal,16,14,15.0,2022,218
,1:25,Texans,Jordan Akins 12 yard pass from Davis Mills (Ka'imi Fairbairn kick),16,21,15.0,2022,218
4,11:57,Chiefs,Patrick Mahomes 5 yard rush (Jerick McKinnon pass from Patrick Mahomes),24,21,15.0,2022,218
,5:11,Texans,Ka'imi Fairbairn 29 yard field goal,24,24,15.0,2022,218
OT,5:13,Chiefs,Jerick McKinnon 26 yard rush,30,24,15.0,2022,218
