Unnamed: 0,IND,MIN,week,year,game_id
First Downs,20,32,15.0,2022,210
Rush-Yds-TDs,43-171-0,24-92-1,15.0,2022,210
Cmp-Att-Yd-TD-INT,19-33-182-1-0,34-55-460-4-2,15.0,2022,210
Sacked-Yards,3-12,7-34,15.0,2022,210
Net Pass Yards,170,426,15.0,2022,210
Total Yards,341,518,15.0,2022,210
Fumbles-Lost,3-1,1-1,15.0,2022,210
Turnovers,1,3,15.0,2022,210
Penalties-Yards,11-103,9-74,15.0,2022,210
Third Down Conv.,6-19,5-15,15.0,2022,210
Fourth Down Conv.,0-1,0-3,15.0,2022,210
Time of Possession,36:37,33:20,15.0,2022,210
