Quarter,Time,Tm,Detail,TEN,LAC,week,year,game_id
1.0,4:25,Chargers,Joshua Kelley 1 yard rush (Cameron Dicker kick),0,7,15.0,2022,222
2.0,10:09,Titans,Derrick Henry 4 yard rush (Randy Bullock kick),7,7,15.0,2022,222
4.0,10:28,Chargers,Austin Ekeler 3 yard rush (Cameron Dicker kick),7,14,15.0,2022,222
,0:48,Titans,Ryan Tannehill 1 yard rush (Randy Bullock kick),14,14,15.0,2022,222
,0:04,Chargers,Cameron Dicker 43 yard field goal,14,17,15.0,2022,222
