Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Cardinals,-10.0,-19.01,-15.61,-0.72,-12.49,0.79,5.61,-4.16,8.37,6.6,-2.11,2.85,4.4,-2.75,4.21,15.0,2022,219
Broncos,10.0,-0.79,-5.61,4.16,-8.37,19.01,15.61,0.72,12.49,-6.6,-2.85,2.11,2.75,-4.4,-4.21,15.0,2022,219
