Quarter,Time,Down,ToGo,Location,PIT,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Panthers to receive the opening kickoff.",,,15.0,2022,214
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,214
1.0,15:00,1.0,10.0,CAR 25,0.0,0.0,D'Onta Foreman left tackle for -1 yards (tackle by Larry Ogunjobi),0.61,-0.07,15.0,2022,214
1.0,14:25,2.0,11.0,CAR 24,0.0,0.0,Chuba Hubbard up the middle for 3 yards (tackle by Terrell Edmunds),-0.07,-0.36,15.0,2022,214
1.0,13:46,3.0,8.0,CAR 27,0.0,0.0,Sam Darnold pass complete short left to Chuba Hubbard for 6 yards (tackle by Alex Highsmith and James Pierre),-0.36,-1.18,15.0,2022,214
1.0,13:05,4.0,2.0,CAR 33,0.0,0.0,"Johnny Hekker punts 39 yards, returned by Steven Sims for 5 yards (tackle by Raheem Blackshear)",-1.18,-1.14,15.0,2022,214
1.0,12:54,1.0,10.0,PIT 33,0.0,0.0,Najee Harris left guard for 3 yards (tackle by Derrick Brown),1.14,1.0,15.0,2022,214
1.0,12:17,2.0,7.0,PIT 36,0.0,0.0,Najee Harris right tackle for 1 yard (tackle by Shaq Thompson),1.0,0.43,15.0,2022,214
1.0,11:30,,,,,,Timeout #1 by Pittsburgh Steelers,,,15.0,2022,214
1.0,11:30,3.0,6.0,PIT 37,0.0,0.0,Mitchell Trubisky pass complete short left to Diontae Johnson for 8 yards (tackle by Jaycee Horn and Xavier Woods),0.43,1.93,15.0,2022,214
1.0,10:50,1.0,10.0,PIT 45,0.0,0.0,Jaylen Warren right tackle for 3 yards (tackle by Jeremy Chinn and Frankie Luvu),1.93,1.79,15.0,2022,214
1.0,10:10,2.0,7.0,PIT 48,0.0,0.0,Najee Harris left end for 10 yards (tackle by Keith Taylor),1.79,2.79,15.0,2022,214
1.0,9:28,1.0,10.0,CAR 42,0.0,0.0,Mitchell Trubisky pass complete short right to Gunner Olszewski for 3 yards (tackle by Jeremy Chinn),2.79,2.65,15.0,2022,214
1.0,8:47,2.0,7.0,CAR 39,0.0,0.0,Najee Harris left tackle for 8 yards (tackle by Myles Hartsfield and Jeremy Chinn),2.65,3.51,15.0,2022,214
1.0,8:09,1.0,10.0,CAR 31,0.0,0.0,Mitchell Trubisky pass complete short right to Diontae Johnson for 4 yards (tackle by Shaq Thompson),3.51,3.51,15.0,2022,214
