Quarter,Time,Tm,Detail,SFO,SEA,week,year,game_id
1.0,3:49,49ers,George Kittle 28 yard pass from Brock Purdy (Robbie Gould kick),7,0,15.0,2022,209
2.0,4:47,Seahawks,Jason Myers 38 yard field goal,7,3,15.0,2022,209
,0:47,49ers,Christian McCaffrey 1 yard rush (Robbie Gould kick),14,3,15.0,2022,209
3.0,14:00,49ers,George Kittle 54 yard pass from Brock Purdy (Robbie Gould kick),21,3,15.0,2022,209
,8:08,Seahawks,Jason Myers 51 yard field goal,21,6,15.0,2022,209
4.0,3:35,Seahawks,Noah Fant 10 yard pass from Geno Smith (Jason Myers kick),21,13,15.0,2022,209
