Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,15.0,2022,209
1.0,15:00,,,SFO 35,0.0,0.0,"Robbie Gould kicks off 61 yards, returned by Godwin Igwebuike for 31 yards (tackle by Jackrabbit Jenkins)",0.0,1.27,15.0,2022,209
1.0,14:54,1.0,10.0,SEA 35,0.0,0.0,Kenneth Walker up the middle for 5 yards (tackle by Deommodore Lenoir and Fred Warner),1.27,1.4,15.0,2022,209
1.0,14:23,2.0,5.0,SEA 40,0.0,0.0,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Deommodore Lenoir),1.4,1.93,15.0,2022,209
1.0,13:56,1.0,10.0,SEA 45,0.0,0.0,Geno Smith pass complete short left to Kenneth Walker for -3 yards (tackle by Azeez Al-Shaair),1.93,0.98,15.0,2022,209
1.0,13:14,2.0,13.0,SEA 42,0.0,0.0,Geno Smith pass incomplete short middle intended for Noah Fant (defended by Dre Greenlaw),0.98,0.3,15.0,2022,209
1.0,13:06,3.0,13.0,SEA 42,0.0,0.0,Geno Smith pass incomplete short left intended for Tyler Lockett,0.3,-0.59,15.0,2022,209
1.0,13:01,4.0,13.0,SEA 42,0.0,0.0,"Michael Dickson punts 48 yards, fair catch by Ray-Ray McCloud at SF-10",-0.59,0.38,15.0,2022,209
1.0,12:54,1.0,10.0,SFO 10,0.0,0.0,Christian McCaffrey left end for 3 yards (tackle by Cody Barton),-0.38,-0.56,15.0,2022,209
1.0,12:21,2.0,7.0,SFO 13,0.0,0.0,Brock Purdy pass complete short right to George Kittle for 2 yards (tackle by Jordyn Brooks),-0.56,-0.84,15.0,2022,209
1.0,11:38,3.0,5.0,SFO 15,0.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for 4 yards (tackle by Ryan Neal),-0.84,-2.14,15.0,2022,209
1.0,11:00,4.0,1.0,SFO 19,0.0,0.0,"Mitch Wishnowsky punts 46 yards, fair catch by Tyler Lockett at SEA-35",-2.14,-1.27,15.0,2022,209
1.0,10:57,1.0,10.0,SEA 35,0.0,0.0,Geno Smith pass incomplete short left,1.27,0.72,15.0,2022,209
1.0,10:52,2.0,10.0,SEA 35,0.0,0.0,Kenneth Walker left end for -2 yards (tackle by Jimmie Ward),0.72,-0.23,15.0,2022,209
1.0,10:04,3.0,12.0,SEA 33,0.0,0.0,Geno Smith pass complete short right to Noah Fant for 5 yards (tackle by Fred Warner),-0.23,-0.85,15.0,2022,209
1.0,9:22,4.0,7.0,SEA 38,0.0,0.0,"Michael Dickson punts 48 yards, fair catch by Ray-Ray McCloud at SF-14",-0.85,0.28,15.0,2022,209
1.0,9:13,1.0,10.0,SFO 14,0.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for 7 yards (tackle by Jordyn Brooks),-0.28,0.28,15.0,2022,209
1.0,8:29,2.0,3.0,SFO 21,0.0,0.0,Christian McCaffrey up the middle for 23 yards (tackle by Quandre Diggs and Cody Barton),0.28,1.86,15.0,2022,209
1.0,7:47,1.0,10.0,SFO 44,0.0,0.0,Christian McCaffrey right tackle for 3 yards (tackle by Bruce Irvin),1.86,1.72,15.0,2022,209
1.0,7:18,2.0,7.0,SFO 47,0.0,0.0,Christian McCaffrey right end for 4 yards (tackle by Cody Barton),1.72,1.55,15.0,2022,209
1.0,6:37,3.0,3.0,SEA 49,0.0,0.0,Brock Purdy pass complete short left to Jauan Jennings for 8 yards (tackle by Quandre Diggs),1.55,2.85,15.0,2022,209
1.0,5:59,1.0,10.0,SEA 41,0.0,0.0,Christian McCaffrey right end for no gain (tackle by Uchenna Nwosu),2.85,2.31,15.0,2022,209
