Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Jalen Hurts,PHI,0,0,15.0,2022,215
Miles Sanders,PHI,1,1,15.0,2022,215
Kenneth Gainwell,PHI,0,0,15.0,2022,215
Quez Watkins,PHI,0,0,15.0,2022,215
A.J. Brown,PHI,0,0,15.0,2022,215
DeVonta Smith,PHI,0,0,15.0,2022,215
Jack Stoll,PHI,0,0,15.0,2022,215
Grant Calcaterra,PHI,0,0,15.0,2022,215
Zach Pascal,PHI,0,0,15.0,2022,215
Justin Fields,CHI,2,0,15.0,2022,215
Nathan Peterman,CHI,0,0,15.0,2022,215
David Montgomery,CHI,0,0,15.0,2022,215
Darrynton Evans,CHI,0,0,15.0,2022,215
Byron Pringle,CHI,0,0,15.0,2022,215
Cole Kmet,CHI,0,0,15.0,2022,215
Equanimeous St. Brown,CHI,0,0,15.0,2022,215
Nsimba Webster,CHI,1,0,15.0,2022,215
Dante Pettis,CHI,0,0,15.0,2022,215
Velus Jones Jr.,CHI,1,1,15.0,2022,215
Trestan Ebner,CHI,0,0,15.0,2022,215
