Quarter,Time,Down,ToGo,Location,ARI,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss, Broncos to receive the opening kickoff.",,,15.0,2022,219
1.0,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,219
1.0,15:00,1.0,10.0,DEN 25,0.0,0.0,Brett Rypien pass complete short right to Jerry Jeudy for 7 yards (tackle by Christian Matthew),0.61,1.01,15.0,2022,219
1.0,14:33,2.0,3.0,DEN 32,0.0,0.0,Brett Rypien pass complete short right to Jerry Jeudy for 10 yards (tackle by Christian Matthew),1.01,1.73,15.0,2022,219
1.0,14:03,1.0,10.0,DEN 42,0.0,0.0,Latavius Murray up the middle for 8 yards (tackle by Budda Baker and Jonathan Ledbetter),1.73,2.27,15.0,2022,219
1.0,13:28,2.0,2.0,ARI 50,0.0,0.0,Brett Rypien pass incomplete deep left intended for Brandon Johnson,2.27,1.55,15.0,2022,219
1.0,13:19,3.0,2.0,ARI 50,0.0,0.0,Latavius Murray left guard for 3 yards (tackle by Ben Niemann and Jonathan Ledbetter),1.55,2.46,15.0,2022,219
1.0,12:52,1.0,10.0,ARI 47,0.0,0.0,Brett Rypien pass complete short right to Greg Dulcich for 11 yards (tackle by Christian Matthew),2.46,3.18,15.0,2022,219
1.0,12:16,1.0,10.0,ARI 36,0.0,0.0,"Marlon Mack up the middle for no gain (tackle by Jalen Thompson). Penalty on Tom Compton: Offensive Holding, 10 yards (accepted) (no play)",3.18,2.52,15.0,2022,219
1.0,11:51,1.0,20.0,ARI 46,0.0,0.0,Brett Rypien pass incomplete short left intended for Jerry Jeudy (defended by Christian Matthew),2.52,1.29,15.0,2022,219
1.0,11:48,2.0,20.0,ARI 46,0.0,0.0,Brett Rypien pass complete short middle to Latavius Murray for 12 yards (tackle by Zaven Collins and Ben Niemann),1.29,2.21,15.0,2022,219
1.0,11:11,3.0,8.0,ARI 34,0.0,0.0,Brett Rypien sacked by Myjai Sanders for no gain,2.21,1.06,15.0,2022,219
1.0,10:31,4.0,8.0,ARI 34,0.0,3.0,Brandon McManus 52 yard field goal good,1.06,3.0,15.0,2022,219
1.0,10:27,,,DEN 35,0.0,3.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,219
1.0,10:27,1.0,10.0,ARI 25,0.0,3.0,James Conner left guard for 3 yards (tackle by Kareem Jackson),0.61,0.47,15.0,2022,219
1.0,9:56,2.0,7.0,ARI 28,0.0,3.0,Colt McCoy scrambles up the middle for 1 yard (tackle by Jonathan Harris),0.47,-0.1,15.0,2022,219
1.0,9:15,3.0,6.0,ARI 29,0.0,3.0,Colt McCoy pass incomplete short right intended for DeAndre Hopkins,-0.1,-1.44,15.0,2022,219
1.0,9:09,4.0,6.0,ARI 29,0.0,3.0,"Andy Lee punts 48 yards, returned by Montrell Washington for 8 yards (tackle by Charles Washington)",-1.44,-1.0,15.0,2022,219
1.0,9:00,1.0,10.0,DEN 31,0.0,3.0,Latavius Murray right guard for 4 yards (tackle by Zaven Collins and Jalen Thompson),1.0,1.0,15.0,2022,219
1.0,8:25,2.0,6.0,DEN 35,0.0,3.0,Latavius Murray left end for 6 yards (tackle by Isaiah Simmons),1.0,1.66,15.0,2022,219
1.0,7:54,1.0,10.0,DEN 41,0.0,3.0,Brett Rypien pass complete short left to Marlon Mack for 6 yards (tackle by Isaiah Simmons),1.66,1.93,15.0,2022,219
1.0,7:16,2.0,4.0,DEN 47,0.0,3.0,Marlon Mack right guard for 9 yards (tackle by Jalen Thompson and Budda Baker),1.93,2.65,15.0,2022,219
1.0,6:36,1.0,10.0,ARI 44,0.0,3.0,Brett Rypien sacked by J.J. Watt for -7 yards,2.65,1.17,15.0,2022,219
1.0,5:57,2.0,17.0,DEN 49,0.0,3.0,Brett Rypien pass complete short left to Marlon Mack for 10 yards (tackle by Budda Baker),1.17,1.82,15.0,2022,219
1.0,5:15,3.0,7.0,ARI 41,0.0,3.0,Brett Rypien sacked by Trysten Hill for -8 yards,1.82,0.0,15.0,2022,219
1.0,4:37,4.0,15.0,ARI 49,0.0,3.0,"Corliss Waitman punts 37 yards, fair catch by Greg Dortch at ARI-12",0.0,0.35,15.0,2022,219
1.0,4:30,1.0,10.0,ARI 12,0.0,3.0,James Conner right tackle for 5 yards (tackle by Jonathon Cooper and Damarri Mathis),-0.35,-0.23,15.0,2022,219
1.0,3:50,2.0,5.0,ARI 17,0.0,3.0,Colt McCoy pass complete short right to DeAndre Hopkins for 5 yards (tackle by Justin Simmons),-0.23,0.41,15.0,2022,219
1.0,3:17,1.0,10.0,ARI 22,0.0,3.0,Colt McCoy pass incomplete short right intended for DeAndre Hopkins (defended by D.J. Jones),0.41,-0.13,15.0,2022,219
1.0,3:12,2.0,10.0,ARI 22,0.0,3.0,Colt McCoy pass complete short right to Marquise Brown for 5 yards (tackle by Josey Jewell),-0.13,-0.16,15.0,2022,219
1.0,2:35,3.0,5.0,ARI 27,0.0,3.0,Colt McCoy pass deep middle intended for Marquise Brown is intercepted by Justin Simmons at ARI-44 and returned for 20 yards (tackle by Max Garcia),-0.16,-3.97,15.0,2022,219
1.0,2:25,1.0,10.0,ARI 24,0.0,3.0,Devine Ozigbo right end for 4 yards (tackle by Chris Banjo),3.97,3.97,15.0,2022,219
1.0,1:48,2.0,6.0,ARI 20,0.0,3.0,Devine Ozigbo left end for -2 yards (tackle by Leki Fotu),3.97,3.01,15.0,2022,219
1.0,1:18,3.0,8.0,ARI 22,0.0,3.0,Brett Rypien pass complete short left to Marlon Mack for 2 yards (tackle by Markus Golden),3.01,2.15,15.0,2022,219
