Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Saints to receive the opening kickoff.",,,15.0,2022,213
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,213
1.0,15:00,1.0,10.0,NOR 25,0.0,0.0,Andy Dalton pass incomplete short right intended for Rashid Shaheed,0.61,0.06,15.0,2022,213
1.0,14:54,2.0,10.0,NOR 25,0.0,0.0,Alvin Kamara right guard for 1 yard (tackle by Grady Jarrett and Abdullah Anderson),0.06,-0.49,15.0,2022,213
1.0,14:18,3.0,9.0,NOR 26,0.0,0.0,Andy Dalton pass complete short left to Juwan Johnson for 14 yards (tackle by AJ Terrell),-0.49,1.6,15.0,2022,213
1.0,13:36,1.0,10.0,NOR 40,0.0,0.0,Alvin Kamara right tackle for 1 yard (tackle by Richie Grant),1.6,1.19,15.0,2022,213
1.0,13:01,2.0,9.0,NOR 41,0.0,0.0,Andy Dalton pass complete short right to Chris Olave for 16 yards (tackle by Jaylinn Hawkins),1.19,2.72,15.0,2022,213
1.0,12:18,1.0,10.0,ATL 43,0.0,0.0,Alvin Kamara right guard for 5 yards (tackle by Troy Andersen),2.72,2.85,15.0,2022,213
1.0,11:38,2.0,5.0,ATL 38,0.0,0.0,Andy Dalton pass complete deep right to Rashid Shaheed for 18 yards (tackle by Jaylinn Hawkins),2.85,4.24,15.0,2022,213
1.0,10:59,1.0,10.0,ATL 20,0.0,0.0,Alvin Kamara right tackle for 1 yard (tackle by Jaleel Johnson and Rashaan Evans),4.24,3.82,15.0,2022,213
1.0,10:16,2.0,9.0,ATL 19,0.0,0.0,Andy Dalton pass incomplete deep left intended for Juwan Johnson,3.82,3.1,15.0,2022,213
1.0,10:12,3.0,9.0,ATL 19,0.0,6.0,"Andy Dalton pass complete short middle to Juwan Johnson for 18 yards NOR challenged the runner broke the plane ruling, and the original play was overturned. Andy Dalton pass complete short middle to Juwan Johnson for 19 yards, touchdown",3.1,7.0,15.0,2022,213
