Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Titans to receive the opening kickoff.",,,15.0,2022,222
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,222
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,"Derrick Henry right tackle for no gain (tackle by Morgan Fox). Penalty on Ben Jones: Chop Block, 12 yards (accepted) (no play)",0.61,-0.64,15.0,2022,222
1.0,14:34,1.0,22.0,TEN 13,0.0,0.0,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 2 yards (tackle by Alohi Gilman),-0.64,-1.43,15.0,2022,222
1.0,13:55,2.0,20.0,TEN 15,0.0,0.0,Derrick Henry up the middle for 7 yards (tackle by Drue Tranquill and Alohi Gilman),-1.43,-1.02,15.0,2022,222
1.0,13:22,3.0,13.0,TEN 22,0.0,0.0,Ryan Tannehill scrambles up the middle for 1 yard (tackle by Khalil Mack),-1.02,-1.83,15.0,2022,222
1.0,12:54,4.0,12.0,TEN 23,0.0,0.0,"Ryan Stonehouse punts 57 yards, returned by DeAndre Carter for 12 yards (tackle by Kevin Rader)",-1.83,-1.07,15.0,2022,222
1.0,12:36,1.0,10.0,LAC 32,0.0,0.0,Joshua Kelley up the middle for 4 yards (tackle by John Reid and Naquan Jones),1.07,1.07,15.0,2022,222
1.0,12:05,2.0,6.0,LAC 36,0.0,0.0,Justin Herbert pass complete short left to Mike Williams for 8 yards (tackle by John Reid),1.07,1.86,15.0,2022,222
1.0,11:37,1.0,10.0,LAC 44,0.0,0.0,Justin Herbert pass complete short right to Donald Parham for 18 yards (tackle by Roger McCreary),1.86,3.05,15.0,2022,222
1.0,11:04,1.0,10.0,TEN 38,0.0,0.0,Austin Ekeler left guard for 10 yards (tackle by Andrew Adams and Terrance Mitchell),3.05,3.71,15.0,2022,222
1.0,10:19,1.0,10.0,TEN 28,0.0,0.0,Joshua Kelley left guard for 3 yards (tackle by Dylan Cole),3.71,3.57,15.0,2022,222
1.0,9:43,2.0,7.0,TEN 25,0.0,0.0,Justin Herbert sacked by Jeffery Simmons for -9 yards,3.57,1.68,15.0,2022,222
1.0,9:05,3.0,16.0,TEN 34,0.0,0.0,Justin Herbert pass complete short middle to Keenan Allen for 14 yards (tackle by John Reid),1.68,2.25,15.0,2022,222
1.0,8:26,4.0,2.0,TEN 20,0.0,0.0,Justin Herbert pass complete short middle to Keenan Allen for 4 yards (tackle by Rashad Weaver),2.25,4.51,15.0,2022,222
1.0,7:43,1.0,10.0,TEN 16,0.0,0.0,Austin Ekeler right end for 3 yards (tackle by Dylan Cole),4.51,4.39,15.0,2022,222
1.0,7:05,2.0,7.0,TEN 13,0.0,0.0,Austin Ekeler left end for 6 yards (tackle by Terrance Mitchell and Dylan Cole),4.39,4.85,15.0,2022,222
1.0,6:24,3.0,1.0,TEN 7,0.0,0.0,Joshua Kelley right guard for 3 yards (tackle by Jeffery Simmons and Kevin Strong),4.85,6.28,15.0,2022,222
1.0,5:47,1.0,4.0,TEN 4,0.0,0.0,Joshua Kelley left guard for 1 yard (tackle by Dylan Cole),6.28,5.53,15.0,2022,222
1.0,5:13,2.0,3.0,TEN 3,0.0,0.0,Joshua Kelley up the middle for 2 yards (tackle by DeMarcus Walker),5.53,5.17,15.0,2022,222
1.0,4:27,3.0,1.0,TEN 1,0.0,6.0,"Joshua Kelley right guard for 1 yard, touchdown",5.17,7.0,15.0,2022,222
1.0,4:25,,,TEN 15,0.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,15.0,2022,222
1.0,4:25,,,LAC 35,0.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,222
1.0,4:25,1.0,10.0,TEN 25,0.0,7.0,Derrick Henry right tackle for no gain (tackle by Sebastian Joseph-Day),0.61,0.06,15.0,2022,222
1.0,3:44,2.0,10.0,TEN 25,0.0,7.0,"Malik Willis pass incomplete deep right. Penalty on Khalil Mack: Defensive Offside, 5 yards (offset) . Penalty on Malik Willis: Intentional Grounding, 10 yards (offset) (no play)",0.06,0.06,15.0,2022,222
