Unnamed: 0,CIN,TAM,week,year,game_id
First Downs,20,25,15.0,2022,221
Rush-Yds-TDs,21-53-0,25-92-0,15.0,2022,221
Cmp-Att-Yd-TD-INT,27-39-200-4-1,30-44-312-3-2,15.0,2022,221
Sacked-Yards,2-16,1-8,15.0,2022,221
Net Pass Yards,184,304,15.0,2022,221
Total Yards,237,396,15.0,2022,221
Fumbles-Lost,1-0,3-2,15.0,2022,221
Turnovers,1,4,15.0,2022,221
Penalties-Yards,4-27,7-58,15.0,2022,221
Third Down Conv.,5-13,4-12,15.0,2022,221
Fourth Down Conv.,0-0,2-3,15.0,2022,221
Time of Possession,29:25,30:35,15.0,2022,221
