Unnamed: 0,ATL,NOR,week,year,game_id
First Downs,21,17,15.0,2022,213
Rush-Yds-TDs,39-231-2,34-134-0,15.0,2022,213
Cmp-Att-Yd-TD-INT,13-26-97-0-0,13-19-231-3-0,15.0,2022,213
Sacked-Yards,4-8,2-17,15.0,2022,213
Net Pass Yards,89,214,15.0,2022,213
Total Yards,320,348,15.0,2022,213
Fumbles-Lost,1-1,2-1,15.0,2022,213
Turnovers,1,1,15.0,2022,213
Penalties-Yards,3-30,6-46,15.0,2022,213
Third Down Conv.,9-16,5-11,15.0,2022,213
Fourth Down Conv.,0-1,0-1,15.0,2022,213
Time of Possession,30:56,29:04,15.0,2022,213
