Quarter,Time,Down,ToGo,Location,DAL,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,,15.0,2022,216
1,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,216
1,15:00,1.0,10.0,DAL 25,0.0,0.0,Ezekiel Elliott right guard for 5 yards (tackle by Arden Key and Josh Allen),0.61,0.74,15.0,2022,216
1,14:29,2.0,5.0,DAL 30,0.0,0.0,Dak Prescott pass complete short right to Ezekiel Elliott for 6 yards (tackle by Rayshawn Jenkins),0.74,1.33,15.0,2022,216
1,13:58,1.0,10.0,DAL 36,0.0,0.0,Dak Prescott sacked by and Arden Key for -3 yards and Folorunso Fatukasi for -3 yards,1.33,0.39,15.0,2022,216
1,13:19,2.0,13.0,DAL 33,0.0,0.0,Ezekiel Elliott left guard for 5 yards (tackle by DaVon Hamilton and Rayshawn Jenkins),0.39,0.37,15.0,2022,216
1,12:45,3.0,8.0,DAL 38,0.0,0.0,Dak Prescott pass complete deep left to CeeDee Lamb for 18 yards (tackle by Tre Herndon),0.37,2.65,15.0,2022,216
1,12:02,1.0,10.0,JAX 44,0.0,0.0,Ezekiel Elliott left end for 2 yards (tackle by DaVon Hamilton and Devin Lloyd),2.65,2.38,15.0,2022,216
1,11:28,2.0,8.0,JAX 42,0.0,0.0,CeeDee Lamb right end for 1 yard (tackle by Darious Williams),2.38,1.82,15.0,2022,216
1,10:49,3.0,7.0,JAX 41,0.0,0.0,Dak Prescott pass incomplete short left intended for Noah Brown,1.82,0.53,15.0,2022,216
1,10:43,4.0,7.0,JAX 41,0.0,0.0,"Penalty on DAL: Delay of Game, 5 yards (accepted) (no play)",0.53,0.2,15.0,2022,216
1,10:43,4.0,12.0,JAX 46,0.0,0.0,"Bryan Anger punts 37 yards, fair catch by Jamal Agnew at JAC-9",0.2,0.38,15.0,2022,216
1,10:37,1.0,10.0,JAX 9,0.0,0.0,Trevor Lawrence pass complete short left to Zay Jones for 9 yards (tackle by Donovan Wilson),-0.38,0.14,15.0,2022,216
1,10:05,2.0,1.0,JAX 18,0.0,0.0,Travis Etienne up the middle for 5 yards (tackle by Carlos Watkins),0.14,0.48,15.0,2022,216
1,9:30,1.0,10.0,JAX 23,0.0,0.0,Travis Etienne up the middle for 2 yards (tackle by Osa Odighizuwa and Micah Parsons),0.48,0.2,15.0,2022,216
1,8:54,2.0,8.0,JAX 25,0.0,0.0,Trevor Lawrence pass complete short middle to Jamal Agnew for 7 yards (tackle by Anthony Barr),0.2,0.43,15.0,2022,216
1,8:12,3.0,1.0,JAX 32,0.0,0.0,Travis Etienne right end for 11 yards (tackle by Malik Hooker and Neville Gallimore),0.43,1.8,15.0,2022,216
1,7:35,1.0,10.0,JAX 43,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk,1.8,1.25,15.0,2022,216
1,7:30,2.0,10.0,JAX 43,0.0,0.0,"Travis Etienne up the middle for -2 yards. Travis Etienne fumbles, recovered by Donovan Wilson at JAC-41",1.25,-2.85,15.0,2022,216
1,7:25,1.0,10.0,JAX 41,0.0,0.0,Dak Prescott pass complete short right to Tony Pollard for 9 yards (tackle by Foyesade Oluokun),2.85,3.52,15.0,2022,216
1,6:48,2.0,1.0,JAX 32,0.0,0.0,Tony Pollard right guard for no gain (tackle by Roy Robertson-Harris and Rayshawn Jenkins),3.52,2.81,15.0,2022,216
1,6:18,3.0,1.0,JAX 32,0.0,0.0,Tony Pollard right end for 3 yards (tackle by Roy Robertson-Harris),2.81,3.64,15.0,2022,216
1,5:42,1.0,10.0,JAX 29,0.0,0.0,Tony Pollard up the middle for 11 yards (tackle by Rayshawn Jenkins and Andre Cisco),3.64,4.37,15.0,2022,216
1,5:08,1.0,10.0,JAX 18,0.0,0.0,Ezekiel Elliott left guard for 8 yards (tackle by Tyson Campbell),4.37,5.23,15.0,2022,216
1,4:39,2.0,2.0,JAX 10,6.0,0.0,"Ezekiel Elliott up the middle for 10 yards, touchdown",5.23,7.0,15.0,2022,216
1,4:31,,,JAX 15,7.0,0.0,Brett Maher kicks extra point good,0.0,0.0,15.0,2022,216
1,4:31,,,DAL 35,7.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,216
1,4:31,1.0,10.0,JAX 25,7.0,0.0,Trevor Lawrence sacked by Micah Parsons for -7 yards,0.61,-0.98,15.0,2022,216
1,3:50,2.0,17.0,JAX 18,7.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 10 yards (tackle by Anthony Barr),-0.98,-0.23,15.0,2022,216
1,3:06,3.0,7.0,JAX 28,7.0,0.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk (defended by DaRon Bland),-0.23,-1.5,15.0,2022,216
1,3:02,4.0,7.0,JAX 28,7.0,0.0,"Logan Cooke punts 61 yards, returned by KaVontae Turpin for 16 yards (tackle by Andrew Wingard). Penalty on Sam Williams: Unnecessary Roughness / Defense, 13 yards (accepted)",-1.5,0.28,15.0,2022,216
1,2:51,1.0,10.0,DAL 14,7.0,0.0,Tony Pollard left end for 1 yard (tackle by Andre Cisco),-0.28,-0.64,15.0,2022,216
1,2:12,2.0,9.0,DAL 15,7.0,0.0,Dak Prescott pass complete short left to Noah Brown for 8 yards (tackle by Andre Cisco),-0.64,-0.32,15.0,2022,216
1,1:51,3.0,1.0,DAL 23,7.0,0.0,Tony Pollard right end for 4 yards (tackle by Devin Lloyd),-0.32,0.74,15.0,2022,216
