Unnamed: 0,MIA,BUF,week,year,game_id
First Downs,20,29,15.0,2022,212
Rush-Yds-TDs,25-188-1,29-150-0,15.0,2022,212
Cmp-Att-Yd-TD-INT,17-30-234-2-0,25-40-304-4-0,15.0,2022,212
Sacked-Yards,2-17,2-8,15.0,2022,212
Net Pass Yards,217,296,15.0,2022,212
Total Yards,405,446,15.0,2022,212
Fumbles-Lost,1-0,2-1,15.0,2022,212
Turnovers,0,1,15.0,2022,212
Penalties-Yards,8-51,7-51,15.0,2022,212
Third Down Conv.,5-14,8-14,15.0,2022,212
Fourth Down Conv.,1-1,0-0,15.0,2022,212
Time of Possession,30:07,29:53,15.0,2022,212
