Unnamed: 0,NWE,LVR,week,year,game_id
First Downs,19,18,15.0,2022,220
Rush-Yds-TDs,32-206-1,23-97-0,15.0,2022,220
Cmp-Att-Yd-TD-INT,13-31-112-0-0,20-38-231-3-1,15.0,2022,220
Sacked-Yards,0-0,3-20,15.0,2022,220
Net Pass Yards,112,211,15.0,2022,220
Total Yards,318,308,15.0,2022,220
Fumbles-Lost,1-1,2-0,15.0,2022,220
Turnovers,1,1,15.0,2022,220
Penalties-Yards,6-30,13-90,15.0,2022,220
Third Down Conv.,2-13,5-14,15.0,2022,220
Fourth Down Conv.,0-0,1-1,15.0,2022,220
Time of Possession,26:44,33:16,15.0,2022,220
