Quarter,Time,Tm,Detail,ARI,DEN,week,year,game_id
1.0,10:27,Broncos,Brandon McManus 52 yard field goal,0,3,15.0,2022,219
2.0,10:35,Cardinals,Matt Prater 45 yard field goal,3,3,15.0,2022,219
,0:00,Cardinals,Matt Prater 50 yard field goal,6,3,15.0,2022,219
3.0,8:55,Cardinals,Matt Prater 55 yard field goal,9,3,15.0,2022,219
,5:58,Broncos,Marlon Mack 3 yard rush (Brandon McManus kick),9,10,15.0,2022,219
4.0,11:00,Broncos,Latavius Murray 10 yard rush (Brandon McManus kick),9,17,15.0,2022,219
,9:29,Broncos,Eric Tomlinson 3 yard pass from Brett Rypien (Brandon McManus kick),9,24,15.0,2022,219
,6:01,Cardinals,James Conner 1 yard rush (pass failed),15,24,15.0,2022,219
