Unnamed: 0,SFO,SEA,week,year,game_id
First Downs,15,16,15.0,2022,209
Rush-Yds-TDs,34-170-1,14-70-0,15.0,2022,209
Cmp-Att-Yd-TD-INT,17-26-217-2-0,31-44-238-1-0,15.0,2022,209
Sacked-Yards,1-6,3-31,15.0,2022,209
Net Pass Yards,211,207,15.0,2022,209
Total Yards,381,277,15.0,2022,209
Fumbles-Lost,0-0,2-1,15.0,2022,209
Turnovers,0,1,15.0,2022,209
Penalties-Yards,7-60,8-79,15.0,2022,209
Third Down Conv.,6-13,4-13,15.0,2022,209
Fourth Down Conv.,0-0,0-0,15.0,2022,209
Time of Possession,33:01,26:59,15.0,2022,209
