#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,LVR 27,12,6:34,42,Field Goal,1,Raiders,15.0,2022,220
2,1,7:01,LVR 30,5,2:51,16,Punt,1,Raiders,15.0,2022,220
3,2,11:51,LVR 24,11,6:33,76,Touchdown,1,Raiders,15.0,2022,220
4,2,3:49,LVR 39,3,1:42,2,Punt,1,Raiders,15.0,2022,220
6,3,12:50,LVR 13,2,0:43,4,Interception,1,Raiders,15.0,2022,220
7,3,12:07,LVR 33,6,4:13,18,Punt,1,Raiders,15.0,2022,220
8,3,1:21,LVR 9,3,1:32,-5,Punt,1,Raiders,15.0,2022,220
9,4,12:52,LVR 26,6,4:30,10,Punt,1,Raiders,15.0,2022,220
10,4,7:15,LVR 19,3,2:05,9,Punt,1,Raiders,15.0,2022,220
11,4,3:43,LVR 31,3,0:31,0,Punt,1,Raiders,15.0,2022,220
12,4,2:11,LVR 19,9,1:39,81,Touchdown,1,Raiders,15.0,2022,220
