Quarter,Time,Tm,Detail,PIT,CAR,week,year,game_id
1.0,5:48,Steelers,Najee Harris 7 yard rush (Chris Boswell kick),7,0,15.0,2022,214
2.0,14:12,Panthers,D.J. Moore 5 yard pass from Sam Darnold (Eddy Piñeiro kick),7,7,15.0,2022,214
,8:20,Steelers,Jaylen Warren 2 yard rush (Chris Boswell kick),14,7,15.0,2022,214
3.0,3:17,Steelers,Mitchell Trubisky 1 yard rush (Chris Boswell kick),21,7,15.0,2022,214
4.0,11:52,Panthers,Eddy Piñeiro 29 yard field goal,21,10,15.0,2022,214
,6:15,Panthers,Eddy Piñeiro 32 yard field goal,21,13,15.0,2022,214
,1:04,Steelers,Chris Boswell 50 yard field goal,24,13,15.0,2022,214
,0:19,Panthers,Eddy Piñeiro 52 yard field goal,24,16,15.0,2022,214
