Quarter,Time,Down,ToGo,Location,KAN,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Texans to receive the opening kickoff.",,,15.0,2022,218
1,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,218
1,15:00,1.0,10.0,HOU 25,0.0,0.0,Jeff Driskel pass complete short right to Amari Rodgers for 11 yards (tackle by Juan Thornhill and Nick Bolton),0.61,1.33,15.0,2022,218
1,14:33,1.0,10.0,HOU 36,0.0,0.0,Dare Ogunbowale right end for 3 yards (tackle by Nick Bolton),1.33,1.2,15.0,2022,218
1,13:56,2.0,7.0,HOU 39,0.0,0.0,Dare Ogunbowale right tackle for no gain (tackle by Frank Clark),1.2,0.5,15.0,2022,218
1,13:23,3.0,7.0,HOU 39,0.0,0.0,Davis Mills pass incomplete short left,0.5,-0.78,15.0,2022,218
1,13:17,4.0,7.0,HOU 39,0.0,0.0,Cameron Johnston punts 42 yards downed by Jacobi Francis,-0.78,-0.15,15.0,2022,218
1,13:08,1.0,10.0,KAN 19,0.0,0.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 7 yards (tackle by Jalen Pitre),0.15,0.61,15.0,2022,218
1,12:32,2.0,3.0,KAN 26,0.0,0.0,Isiah Pacheco left guard for 1 yard (tackle by Maliek Collins),0.61,-0.03,15.0,2022,218
1,11:59,3.0,2.0,KAN 27,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 4 yards (tackle by Christian Harris),-0.03,1.0,15.0,2022,218
1,11:25,1.0,10.0,KAN 31,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 12 yards (tackle by Jonathan Owens and Tremon Smith),1.0,1.8,15.0,2022,218
1,10:45,1.0,10.0,KAN 43,0.0,0.0,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,1.8,1.25,15.0,2022,218
1,10:38,2.0,10.0,KAN 43,0.0,0.0,Patrick Mahomes pass complete short middle to Kadarius Toney for 5 yards (tackle by Jonathan Owens),1.25,1.22,15.0,2022,218
1,10:03,3.0,5.0,KAN 48,0.0,0.0,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling,1.22,-0.19,15.0,2022,218
1,9:57,4.0,5.0,KAN 48,0.0,0.0,"Tommy Townsend punts 40 yards, returned by Desmond King for 3 yards (tackle by Darius Harris and Nazeeh Johnson)",-0.19,0.22,15.0,2022,218
1,9:48,1.0,10.0,HOU 15,0.0,0.0,Davis Mills pass incomplete short left intended for Chris Moore (defended by Joshua Williams),-0.22,-0.71,15.0,2022,218
1,9:44,2.0,10.0,HOU 15,0.0,0.0,Dare Ogunbowale left tackle for no gain (tackle by Carlos Dunlap),-0.71,-1.37,15.0,2022,218
1,9:06,3.0,10.0,HOU 15,0.0,0.0,Davis Mills pass complete short left to Rex Burkhead for no gain (tackle by Michael Danna and Frank Clark),-1.37,-2.44,15.0,2022,218
1,8:33,4.0,10.0,HOU 15,0.0,0.0,"Cameron Johnston punts 48 yards, returned by Kadarius Toney for 3 yards (tackle by Will Redmond)",-2.44,-1.6,15.0,2022,218
1,8:24,1.0,10.0,KAN 40,0.0,0.0,Patrick Mahomes sacked by Christian Kirksey for -11 yards,1.6,-0.43,15.0,2022,218
1,7:48,2.0,21.0,KAN 29,0.0,0.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 7 yards (tackle by Tremon Smith and Christian Harris),-0.43,-0.16,15.0,2022,218
1,7:04,3.0,14.0,KAN 36,0.0,0.0,Patrick Mahomes pass incomplete deep left intended for Justin Watson (defended by Blake Cashman),-0.16,-0.98,15.0,2022,218
1,6:54,4.0,14.0,KAN 36,0.0,0.0,"Tommy Townsend punts 57 yards, returned by Desmond King for 13 yards (tackle by Jack Cochrane)",-0.98,-0.28,15.0,2022,218
1,6:43,1.0,10.0,HOU 20,0.0,0.0,Jeff Driskel right end for 9 yards (tackle by Darius Harris),0.28,0.95,15.0,2022,218
