Quarter,Time,Down,ToGo,Location,DET,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Lions to receive the opening kickoff.",,,15.0,2022,217
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,217
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,D'Andre Swift right end for 9 yards (tackle by Sheldon Rankins),0.61,1.28,15.0,2022,217
1.0,14:25,2.0,1.0,DET 34,0.0,0.0,Jared Goff pass complete short right to James Mitchell for 7 yards (tackle by Sauce Gardner),1.28,1.66,15.0,2022,217
1.0,13:49,1.0,10.0,DET 41,0.0,0.0,Jamaal Williams up the middle for 4 yards (tackle by Carl Lawson),1.66,1.66,15.0,2022,217
1.0,13:11,2.0,6.0,DET 45,0.0,0.0,Jared Goff pass incomplete deep left intended for DJ Chark (defended by D.J. Reed),1.66,0.96,15.0,2022,217
1.0,13:06,3.0,6.0,DET 45,0.0,0.0,Jared Goff pass complete short right to Kalif Raymond for 18 yards (tackle by Will Parks),0.96,3.12,15.0,2022,217
1.0,12:25,1.0,10.0,NYJ 37,0.0,0.0,Justin Jackson up the middle for no gain (tackle by Solomon Thomas),3.12,2.57,15.0,2022,217
1.0,11:48,2.0,10.0,NYJ 37,0.0,0.0,D'Andre Swift right guard for 7 yards (tackle by Jordan Whitehead),2.57,2.81,15.0,2022,217
1.0,11:03,3.0,3.0,NYJ 30,0.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 12 yards (tackle by Michael Carter),2.81,4.37,15.0,2022,217
1.0,10:21,1.0,10.0,NYJ 18,0.0,0.0,Amon-Ra St. Brown right guard for 6 yards (tackle by Sauce Gardner and C.J. Mosley),4.37,4.81,15.0,2022,217
1.0,9:42,2.0,4.0,NYJ 12,0.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards,4.81,5.6,15.0,2022,217
1.0,9:04,1.0,7.0,NYJ 7,0.0,0.0,Jamaal Williams right guard for 3 yards (tackle by Quincy Williams and Will Parks),5.6,5.34,15.0,2022,217
1.0,8:20,2.0,4.0,NYJ 4,0.0,0.0,Jamaal Williams up the middle for 2 yards (tackle by Nathan Shepherd),5.34,4.95,15.0,2022,217
1.0,7:39,3.0,2.0,NYJ 2,0.0,0.0,Justin Jackson up the middle for 1 yard (tackle by Jordan Whitehead and Michael Carter),4.95,3.55,15.0,2022,217
1.0,7:00,4.0,1.0,NYJ 1,0.0,0.0,Jamaal Williams up the middle for -1 yards (tackle by Quincy Williams and Will Parks),3.55,0.38,15.0,2022,217
1.0,6:55,1.0,10.0,NYJ 2,0.0,0.0,Zonovan Knight up the middle for -1 yards (tackle by DeShon Elliott and Isaiah Buggs),-0.38,-0.85,15.0,2022,217
1.0,6:23,2.0,11.0,NYJ 1,0.0,0.0,Zach Wilson pass incomplete deep left intended for Garrett Wilson (defended by Jerry Jacobs),-0.85,-1.54,15.0,2022,217
1.0,6:16,3.0,11.0,NYJ 1,0.0,0.0,Zach Wilson pass incomplete short right intended for Denzel Mims (defended by Jeff Okudah),-1.54,-2.49,15.0,2022,217
1.0,6:13,4.0,11.0,NYJ 1,6.0,0.0,"Braden Mann punts 46 yards, returned by Kalif Raymond for 47 yards, touchdown",-2.49,-7.0,15.0,2022,217
1.0,6:00,,,NYJ 15,6.0,0.0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",0.0,0.0,15.0,2022,217
1.0,6:00,,,NYJ 20,7.0,0.0,Michael Badgley kicks extra point good,0.0,0.0,15.0,2022,217
