Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Brock Purdy,SFO,0,0,0,0,0,15.0,2022,209
Christian McCaffrey,SFO,8,6,30,0,11,15.0,2022,209
Jordan Mason,SFO,0,0,0,0,0,15.0,2022,209
George Kittle,SFO,5,4,93,2,54,15.0,2022,209
Jauan Jennings,SFO,5,3,31,0,12,15.0,2022,209
Tyler Kroft,SFO,1,1,28,0,28,15.0,2022,209
Brandon Aiyuk,SFO,4,2,19,0,16,15.0,2022,209
Ray-Ray McCloud,SFO,3,1,16,0,16,15.0,2022,209
Geno Smith,SEA,0,0,0,0,0,15.0,2022,209
Kenneth Walker III,SEA,5,4,32,0,33,15.0,2022,209
Travis Homer,SEA,4,4,25,0,11,15.0,2022,209
Tyler Lockett,SEA,9,7,68,0,19,15.0,2022,209
D.K. Metcalf,SEA,9,7,55,0,13,15.0,2022,209
Noah Fant,SEA,6,5,32,1,12,15.0,2022,209
Will Dissly,SEA,1,1,13,0,13,15.0,2022,209
Marquise Goodwin,SEA,5,2,10,0,6,15.0,2022,209
Penny Hart,SEA,1,1,3,0,3,15.0,2022,209
Colby Parkinson,SEA,1,0,0,0,0,15.0,2022,209
