Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 16_level_0,Player_URL
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards,
1.0,Christian McCaffrey,29.0,SFO,RB,1.0,1.0,22.0,69.0,6.0,69.0,3.1,0.0,0.0,0.0,,,
2.0,Chase Brown,25.0,CIN,RB,1.0,1.0,21.0,43.0,3.0,43.0,2.0,0.0,0.0,0.0,,,
3.0,Breece Hall,24.0,NYJ,RB,1.0,1.0,19.0,107.0,7.0,55.0,2.9,52.0,2.7,2.0,9.5,,
4.0,Josh Jacobs,27.0,GNB,RB,1.0,1.0,19.0,66.0,3.0,66.0,3.5,0.0,0.0,0.0,,,
5.0,Ashton Jeanty,22.0,LVR,RB,1.0,1.0,19.0,38.0,2.0,38.0,2.0,0.0,0.0,0.0,,,
6.0,Saquon Barkley,28.0,PHI,RB,1.0,1.0,18.0,60.0,4.0,55.0,3.1,5.0,0.3,0.0,,,
7.0,Derrick Henry,31.0,BAL,RB,1.0,1.0,18.0,169.0,5.0,78.0,4.3,91.0,5.1,2.0,9.0,,
8.0,Tony Pollard,28.0,TEN,RB,1.0,1.0,18.0,60.0,2.0,60.0,3.3,0.0,0.0,0.0,,,
9.0,Jonathan Taylor,26.0,IND,RB,1.0,1.0,18.0,71.0,3.0,33.0,1.8,38.0,2.1,0.0,,,
10.0,Kyren Williams,25.0,LAR,RB,1.0,1.0,18.0,66.0,3.0,63.0,3.5,3.0,0.2,0.0,,,
11.0,D'Andre Swift,26.0,CHI,RB,1.0,1.0,17.0,53.0,2.0,53.0,3.1,0.0,0.0,0.0,,,
12.0,J.K. Dobbins,27.0,DEN,RB,1.0,1.0,16.0,63.0,2.0,63.0,3.9,0.0,0.0,0.0,,,
13.0,Travis Etienne,26.0,JAX,RB,1.0,1.0,16.0,143.0,3.0,67.0,4.2,76.0,4.8,0.0,,,
14.0,Chuba Hubbard,26.0,CAR,RB,1.0,1.0,16.0,57.0,3.0,29.0,1.8,28.0,1.8,0.0,,,
15.0,Omarion Hampton,22.0,LAC,RB,1.0,1.0,15.0,48.0,4.0,48.0,3.2,0.0,0.0,0.0,,,
16.0,Jordan Mason,26.0,MIN,RB,1.0,0.0,15.0,68.0,3.0,68.0,4.5,0.0,0.0,0.0,,,
17.0,Javonte Williams,25.0,DAL,RB,1.0,1.0,15.0,54.0,5.0,49.0,3.3,5.0,0.3,0.0,,,
