Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,year,week
1.0,Chicago Bears,17.0,558.0,3014.0,18.0,67.0,5.4,177.3,33.0,69.64,2022,18
2.0,Baltimore Ravens,17.0,526.0,2720.0,14.0,79.0,5.2,160.0,21.0,48.1,2022,18
3.0,Atlanta Falcons,17.0,559.0,2718.0,17.0,44.0,4.9,159.9,21.0,46.17,2022,18
4.0,New York Giants,17.0,520.0,2519.0,21.0,68.0,4.8,148.2,19.0,72.99,2022,18
5.0,Philadelphia Eagles,17.0,544.0,2509.0,32.0,42.0,4.6,147.6,23.0,103.16,2022,18
6.0,Cleveland Browns,17.0,532.0,2490.0,19.0,41.0,4.7,146.5,15.0,42.95,2022,18
7.0,San Francisco 49ers,17.0,504.0,2360.0,20.0,71.0,4.7,138.8,16.0,0.97,2022,18
8.0,Dallas Cowboys,17.0,531.0,2298.0,24.0,57.0,4.3,135.2,14.0,22.34,2022,18
9.0,Buffalo Bills,16.0,430.0,2232.0,15.0,44.0,5.2,139.5,24.0,33.2,2022,18
10.0,Carolina Panthers,17.0,483.0,2210.0,16.0,60.0,4.6,130.0,29.0,26.76,2022,18
11.0,Detroit Lions,17.0,480.0,2179.0,23.0,58.0,4.5,128.2,16.0,-6.74,2022,18
12.0,Washington Commanders,17.0,538.0,2143.0,9.0,33.0,4.0,126.1,21.0,-10.65,2022,18
13.0,Tennessee Titans,17.0,487.0,2131.0,16.0,56.0,4.4,125.4,23.0,-6.24,2022,18
14.0,Jacksonville Jaguars,17.0,448.0,2116.0,16.0,62.0,4.7,124.5,19.0,14.37,2022,18
15.0,Green Bay Packers,17.0,456.0,2113.0,12.0,46.0,4.6,124.3,25.0,22.33,2022,18
16.0,Pittsburgh Steelers,17.0,500.0,2073.0,16.0,36.0,4.1,121.9,16.0,24.47,2022,18
17.0,Las Vegas Raiders,17.0,428.0,2059.0,12.0,86.0,4.8,121.1,17.0,16.26,2022,18
18.0,Seattle Seahawks,17.0,425.0,2042.0,12.0,74.0,4.8,120.1,19.0,10.28,2022,18
19.0,New Orleans Saints,17.0,465.0,1982.0,12.0,60.0,4.3,116.6,23.0,-26.09,2022,18
20.0,Kansas City Chiefs,17.0,417.0,1970.0,18.0,52.0,4.7,115.9,21.0,53.34,2022,18
21.0,Denver Broncos,17.0,444.0,1935.0,11.0,52.0,4.4,113.8,26.0,-14.05,2022,18
22.0,Arizona Cardinals,17.0,434.0,1873.0,15.0,45.0,4.3,110.2,25.0,16.79,2022,18
23.0,Indianapolis Colts,17.0,439.0,1866.0,8.0,66.0,4.3,109.8,37.0,-39.04,2022,18
24.0,New England Patriots,17.0,425.0,1812.0,12.0,49.0,4.3,106.6,23.0,-30.44,2022,18
25.0,New York Jets,17.0,405.0,1686.0,13.0,62.0,4.2,99.2,21.0,-8.5,2022,18
26.0,Miami Dolphins,17.0,390.0,1686.0,12.0,67.0,4.3,99.2,16.0,-5.37,2022,18
27.0,Minnesota Vikings,17.0,404.0,1661.0,18.0,81.0,4.1,97.7,18.0,-15.37,2022,18
28.0,Los Angeles Rams,17.0,411.0,1661.0,15.0,42.0,4.0,97.7,16.0,3.23,2022,18
29.0,Cincinnati Bengals,16.0,399.0,1528.0,14.0,40.0,3.8,95.5,11.0,4.57,2022,18
30.0,Los Angeles Chargers,17.0,404.0,1524.0,15.0,72.0,3.8,89.6,19.0,4.74,2022,18
31.0,Houston Texans,17.0,398.0,1476.0,7.0,75.0,3.7,86.8,22.0,-45.95,2022,18
32.0,Tampa Bay Buccaneers,17.0,386.0,1308.0,5.0,35.0,3.4,76.9,17.0,-60.79,2022,18
,Avg Team,,461.6,2059.2,15.2,57.0,4.5,121.6,20.8,11.5,2022,18
,League Total,,14770.0,65894.0,487.0,86.0,4.5,121.6,666.0,,2022,18
,Avg Tm/G,,27.3,121.6,0.9,,4.5,121.6,1.2,,2022,18
