Unnamed: 0_level_0,Unnamed: 1_level_0,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Unnamed: 14_level_0
Player,Tm,Cmp,Att,Cmp%,Yds,TD,Int,Cmp,Att,Cmp%,Yds,TD,Int,Link
Patrick Mahomes,KAN,73,123,59.35,433,34,3,44,73,60.27,184,29,3,All Patrick Mahomes red zone passing plays
Josh Allen,BUF,45,84,53.57,353,24,5,18,40,45.0,80,14,3,All Josh Allen red zone passing plays
Joe Burrow,CIN,54,92,58.7,382,24,1,17,38,44.74,79,14,0,All Joe Burrow red zone passing plays
Kirk Cousins,MIN,60,99,60.61,387,23,2,28,53,52.83,104,16,1,All Kirk Cousins red zone passing plays
Jared Goff,DET,54,91,59.34,336,22,1,26,44,59.09,99,20,0,All Jared Goff red zone passing plays
Tom Brady,TAM,57,97,58.76,330,20,0,25,50,50.0,109,18,0,All Tom Brady red zone passing plays
Justin Herbert,LAC,57,98,58.16,307,20,1,27,49,55.1,48,12,1,All Justin Herbert red zone passing plays
Trevor Lawrence,JAX,41,82,50.0,277,19,3,20,36,55.56,103,15,2,All Trevor Lawrence red zone passing plays
Aaron Rodgers,GNB,45,75,60.0,271,17,2,18,34,52.94,68,11,2,All Aaron Rodgers red zone passing plays
Geno Smith,SEA,37,70,52.86,260,17,0,14,28,50.0,67,10,0,All Geno Smith red zone passing plays
Dak Prescott,DAL,32,49,65.31,217,16,1,17,27,62.96,82,11,0,All Dak Prescott red zone passing plays
Tua Tagovailoa,MIA,29,46,63.04,199,15,0,12,24,50.0,64,9,0,All Tua Tagovailoa red zone passing plays
Davis Mills,HOU,25,54,46.3,193,14,1,9,19,47.37,41,6,1,All Davis Mills red zone passing plays
Lamar Jackson,BAL,26,56,46.43,197,13,1,11,23,47.83,51,7,1,All Lamar Jackson red zone passing plays
Daniel Jones,NYG,26,41,63.41,182,12,1,15,22,68.18,79,11,1,All Daniel Jones red zone passing plays
Jimmy Garoppolo,SFO,26,43,60.47,183,12,1,13,21,61.9,64,8,1,All Jimmy Garoppolo red zone passing plays
Justin Fields,CHI,22,32,68.75,167,12,1,8,13,61.54,51,6,1,All Justin Fields red zone passing plays
Matt Ryan,IND,27,52,51.92,202,12,0,10,27,37.04,52,7,0,All Matt Ryan red zone passing plays
Marcus Mariota,ATL,21,35,60.0,117,11,1,11,20,55.0,44,8,1,All Marcus Mariota red zone passing plays
Jacoby Brissett,CLE,22,46,47.83,127,11,1,9,19,47.37,41,7,1,All Jacoby Brissett red zone passing plays
Derek Carr,LVR,24,57,42.11,170,11,2,10,30,33.33,46,8,2,All Derek Carr red zone passing plays
Andy Dalton,NOR,31,47,65.96,250,11,1,11,16,68.75,48,5,1,All Andy Dalton red zone passing plays
Ryan Tannehill,TEN,29,50,58.0,213,10,0,14,22,63.64,79,7,0,All Ryan Tannehill red zone passing plays
Kyler Murray,ARI,23,44,52.27,113,9,0,10,25,40.0,56,9,0,All Kyler Murray red zone passing plays
