Rk,Player,Age,Team,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving 1D,Receiving Succ%,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Rushing Succ%,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Scrimmage Touch,Scrimmage Y/Tch,Scrimmage YScm,Scrimmage RRTD,Fmb,Awards
1.0,Josh Jacobs,24.0,LVR,RB,17.0,17.0,64.0,53.0,400.0,7.5,0.0,16.0,50.0,43.0,3.1,23.5,82.8,6.3,340.0,1653.0,12.0,93.0,57.4,86.0,4.9,97.2,20.0,393.0,5.2,2053.0,12.0,3.0,"PB,AP-1,AP OPoY-5"
2.0,Derrick Henry,28.0,TEN,RB,16.0,16.0,41.0,33.0,398.0,12.1,0.0,11.0,61.0,69.0,2.1,24.9,80.5,9.7,349.0,1538.0,13.0,65.0,46.7,56.0,4.4,96.1,21.8,382.0,5.1,1936.0,13.0,6.0,"PB,AP MVP-9,AP OPoY-12,AP CPoY-9"
3.0,Christian McCaffrey,26.0,2TM,RB,17.0,16.0,108.0,85.0,741.0,8.7,5.0,36.0,52.8,49.0,5.0,43.6,78.7,6.9,244.0,1139.0,8.0,59.0,48.4,49.0,4.7,67.0,14.4,329.0,5.7,1880.0,13.0,1.0,"PB,AP OPoY-7,AP CPoY-2"
3.0,Christian McCaffrey,26.0,CAR,RB,6.0,6.0,43.0,33.0,277.0,8.4,1.0,10.0,41.9,49.0,5.5,46.2,76.7,6.4,85.0,393.0,2.0,20.0,49.4,49.0,4.6,65.5,14.2,118.0,5.7,670.0,3.0,0.0,
3.0,Christian McCaffrey,26.0,SFO,RB,11.0,10.0,65.0,52.0,464.0,8.9,4.0,26.0,60.0,38.0,4.7,42.2,80.0,7.1,159.0,746.0,6.0,39.0,47.8,38.0,4.7,67.8,14.5,211.0,5.7,1210.0,10.0,1.0,
4.0,Justin Jefferson,23.0,MIN,WR,17.0,17.0,184.0,128.0,1809.0,14.1,8.0,80.0,57.6,64.0,7.5,106.4,69.6,9.8,4.0,24.0,1.0,2.0,75.0,10.0,6.0,1.4,0.2,132.0,13.9,1833.0,9.0,0.0,"PB,AP-1,AP MVP-5,AP OPoY-1"
5.0,Nick Chubb,27.0,CLE,RB,17.0,17.0,37.0,27.0,239.0,8.9,1.0,12.0,51.4,26.0,1.6,14.1,73.0,6.5,302.0,1525.0,12.0,69.0,50.0,41.0,5.0,89.7,17.8,329.0,5.4,1764.0,13.0,1.0,"PB,AP-2"
6.0,Tyreek Hill,28.0,MIA,WR,17.0,17.0,170.0,119.0,1710.0,14.4,7.0,77.0,56.5,64.0,7.0,100.6,70.0,10.1,7.0,32.0,1.0,3.0,57.1,10.0,4.6,1.9,0.4,126.0,13.8,1742.0,8.0,1.0,"PB,AP-1,AP MVP-9,AP OPoY-4"
7.0,Saquon Barkley,25.0,NYG,RB,16.0,16.0,76.0,57.0,338.0,5.9,0.0,10.0,38.2,41.0,3.6,21.1,75.0,4.4,295.0,1312.0,10.0,62.0,47.5,68.0,4.4,82.0,18.4,352.0,4.7,1650.0,10.0,1.0,"PB,AP CPoY-3"
8.0,Austin Ekeler,27.0,LAC,RB,17.0,17.0,127.0,107.0,722.0,6.7,5.0,36.0,48.0,23.0,6.3,42.5,84.3,5.7,204.0,915.0,13.0,46.0,48.0,72.0,4.5,53.8,12.0,311.0,5.3,1637.0,18.0,5.0,AP OPoY-9
9.0,Aaron Jones,28.0,GNB,RB,17.0,17.0,72.0,59.0,395.0,6.7,5.0,19.0,44.4,30.0,3.5,23.2,81.9,5.5,213.0,1121.0,2.0,54.0,54.9,36.0,5.3,65.9,12.5,272.0,5.6,1516.0,7.0,5.0,
10.0,Davante Adams,30.0,LVR,WR,17.0,17.0,180.0,100.0,1516.0,15.2,14.0,65.0,46.1,60.0,5.9,89.2,55.6,8.4,3.0,-1.0,0.0,0.0,0.0,4.0,-0.3,-0.1,0.2,103.0,14.7,1515.0,14.0,1.0,"PB,AP-1"
11.0,A.J. Brown,25.0,PHI,WR,17.0,16.0,145.0,88.0,1496.0,17.0,11.0,59.0,51.7,78.0,5.2,88.0,60.7,10.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,88.0,17.0,1496.0,11.0,2.0,"PB,AP-2,AP MVP-9,AP OPoY-11"
12.0,Dalvin Cook,27.0,MIN,RB,17.0,17.0,56.0,39.0,295.0,7.6,2.0,16.0,41.1,64.0,2.3,17.4,69.6,5.3,264.0,1173.0,8.0,50.0,47.3,81.0,4.4,69.0,15.5,303.0,4.8,1468.0,10.0,4.0,PB
13.0,Rhamondre Stevenson,24.0,NWE,RB,17.0,7.0,88.0,69.0,421.0,6.1,1.0,13.0,39.8,40.0,4.1,24.8,78.4,4.8,210.0,1040.0,5.0,49.0,45.7,49.0,5.0,61.2,12.4,279.0,5.2,1461.0,6.0,4.0,
14.0,Travis Etienne,23.0,JAX,RB,17.0,12.0,45.0,35.0,316.0,9.0,0.0,16.0,44.4,30.0,2.1,18.6,77.8,7.0,220.0,1125.0,5.0,52.0,50.9,62.0,5.1,66.2,12.9,255.0,5.7,1441.0,5.0,5.0,
15.0,Stefon Diggs,29.0,BUF,WR,16.0,16.0,154.0,108.0,1429.0,13.2,11.0,74.0,64.3,53.0,6.8,89.3,70.1,9.3,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,0.1,109.0,13.1,1426.0,11.0,1.0,"PB,AP-2"
16.0,CeeDee Lamb,23.0,DAL,WR,17.0,17.0,156.0,107.0,1359.0,12.7,9.0,67.0,55.1,39.0,6.3,79.9,68.6,8.7,10.0,47.0,0.0,3.0,50.0,14.0,4.7,2.8,0.6,117.0,12.0,1406.0,9.0,0.0,"PB,AP-2"
17.0,Alvin Kamara,27.0,NOR,RB,15.0,13.0,77.0,57.0,490.0,8.6,2.0,17.0,46.8,54.0,3.8,32.7,74.0,6.4,223.0,897.0,2.0,40.0,52.0,27.0,4.0,59.8,14.9,280.0,5.0,1387.0,4.0,4.0,
18.0,Jaylen Waddle,24.0,MIA,WR,17.0,17.0,117.0,75.0,1356.0,18.1,8.0,60.0,54.7,84.0,4.4,79.8,64.1,11.6,3.0,26.0,0.0,0.0,100.0,9.0,8.7,1.5,0.2,78.0,17.7,1382.0,8.0,1.0,
19.0,Tony Pollard,25.0,DAL,RB,16.0,4.0,55.0,39.0,371.0,9.5,3.0,18.0,47.3,68.0,2.4,23.2,70.9,6.7,193.0,1007.0,9.0,46.0,47.7,57.0,5.2,62.9,12.1,232.0,5.9,1378.0,12.0,0.0,PB
