Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Kyler Murray,ARI,0,0,0,0,0,11.0,2023,158
James Conner,ARI,3,2,1,0,6,11.0,2023,158
Tony Jones,ARI,1,1,11,0,11,11.0,2023,158
Rondale Moore,ARI,1,1,48,1,48,11.0,2023,158
Greg Dortch,ARI,8,6,76,0,31,11.0,2023,158
Trey McBride,ARI,7,5,43,0,13,11.0,2023,158
Geoff Swaim,ARI,2,2,15,0,8,11.0,2023,158
Elijah Higgins,ARI,2,1,2,0,2,11.0,2023,158
Marquise Brown,ARI,5,2,18,0,13,11.0,2023,158
C.J. Stroud,HOU,0,0,0,0,0,11.0,2023,158
Davis Mills,HOU,0,0,0,0,0,11.0,2023,158
Tank Dell,HOU,10,8,149,1,40,11.0,2023,158
Devin Singletary,HOU,2,2,6,0,4,11.0,2023,158
Nico Collins,HOU,11,7,65,0,23,11.0,2023,158
Robert Woods,HOU,8,5,44,0,17,11.0,2023,158
Dalton Schultz,HOU,3,2,32,1,20,11.0,2023,158
Steven Sims,HOU,2,2,25,0,23,11.0,2023,158
John Metchie,HOU,1,1,12,0,12,11.0,2023,158
Mike Boone,HOU,1,1,5,0,5,11.0,2023,158
Andrew Beck,HOU,0,0,0,0,0,11.0,2023,158
